PathwayID,PathwayName,PathwaySource,GeneCount,UpGenes,DownGenes,AvgLogFC,MinFDR,GeneList
GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY,GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY.v2026.1.Hs.gmt,2,2,0,0.9730171065,3.55e-60,DDR1; ITGA11
GOBP_EPITHELIAL_CELL_CELL_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_CELL_ADHESION,GOBP_EPITHELIAL_CELL_CELL_ADHESION.v2026.1.Hs.gmt,2,2,0,0.7847026505,0.000277812,CCN3; KIT
GOBP_EXTRACELLULAR_MATRIX_CONSTITUENT_SECRETION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRACELLULAR_MATRIX_CONSTITUENT_SECRETION,GOBP_EXTRACELLULAR_MATRIX_CONSTITUENT_SECRETION.v2026.1.Hs.gmt,2,2,0,1.2312296905,2.17e-77,RGCC; TNFRSF1B
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY,GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY.v2026.1.Hs.gmt,2,2,0,1.2606895975,2.17e-77,RGCC; SMAD3
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY,GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY.v2026.1.Hs.gmt,2,2,0,0.7627173985,2.82e-37,STAT3; TGFB2
GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION,GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION.v2026.1.Hs.gmt,2,2,0,0.854207224,2.77e-21,IL6R; PLPP3
GOBP_REGULATION_OF_COLLAGEN_FIBRIL_ORGANIZATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_COLLAGEN_FIBRIL_ORGANIZATION,GOBP_REGULATION_OF_COLLAGEN_FIBRIL_ORGANIZATION.v2026.1.Hs.gmt,2,2,0,0.6529515505,6.74e-46,AEBP1; COL6A1
GOMF_COLLAGEN_RECEPTOR_ACTIVITY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_COLLAGEN_RECEPTOR_ACTIVITY,GOMF_COLLAGEN_RECEPTOR_ACTIVITY.v2026.1.Hs.gmt,2,2,0,0.9730171065,3.55e-60,DDR1; ITGA11
GOBP_COLLAGEN_ACTIVATED_TYROSINE_KINASE_RECEPTOR_SIGNALING_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_ACTIVATED_TYROSINE_KINASE_RECEPTOR_SIGNALING_PATHWAY,GOBP_COLLAGEN_ACTIVATED_TYROSINE_KINASE_RECEPTOR_SIGNALING_PATHWAY.v2026.1.Hs.gmt,1,1,0,0.772547226,0.00525808,DDR1
GOBP_EXTRACELLULAR_MATRIX_CELL_SIGNALING,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRACELLULAR_MATRIX_CELL_SIGNALING,GOBP_EXTRACELLULAR_MATRIX_CELL_SIGNALING.v2026.1.Hs.gmt,1,1,0,1.40213367,4.53e-51,NTN4
GOCC_COLLAGEN_TYPE_VI_TRIMER,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_COLLAGEN_TYPE_VI_TRIMER,GOCC_COLLAGEN_TYPE_VI_TRIMER.v2026.1.Hs.gmt,1,1,0,0.653701238,6.74e-46,COL6A1
GOMF_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION,GOMF_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION.v2026.1.Hs.gmt,1,1,0,1.173486987,3.55e-60,ITGA11
