GeneID,logFC,PValue,FDR
SYPL2,0.964896698,0.001065154,0.001065154
ZNF862,0.758176734,0.001034919,0.001034919
RASL10B,0.76104506,0.000966028,0.000966028
PARP10,0.633995029,0.000929831,0.000929831
PPP1R11-5,2.84302541,0.00091948,0.00091948
TUBB-2,0.586845731,0.000915741,0.000915741
TET3,0.594270014,0.000894884,0.000894884
ACSL5,0.87634377,0.000882171,0.000882171
ALDH6A1,0.621078394,0.000870586,0.000870586
PPL,3.035859882,0.000849543,0.000849543
SPIRE2,1.115738871,0.000836685,0.000836685
SLC7A14,1.729707377,0.00081087,0.00081087
DDO,3.24354183,0.000810633,0.000810633
PGM5P4-AS1,2.771867346,0.000802339,0.000802339
ZBED3,1.108541206,0.000793788,0.000793788
ENOX1,1.199334605,0.000779799,0.000779799
ZNF462,0.609670045,0.000753345,0.000753345
SAMD14,0.603674863,0.000714693,0.000714693
ZNF853,1.078428556,0.000713664,0.000713664
MANSC1,1.055539854,0.000712994,0.000712994
MANSC1-2,1.055539854,0.000712994,0.000712994
TAP2,1.932371215,0.000671936,0.000671936
PTP4A3-3,3.61570362,0.00064921,0.00064921
EPSTI1,0.888003639,0.000648397,0.000648397
KCNJ5-AS1,1.371246751,0.000640518,0.000640518
AS3MT,1.772917529,0.000569765,0.000569765
VARS1-3,0.657068982,0.000565459,0.000565459
VARS1-4,0.657068982,0.000565459,0.000565459
USP46-DT,0.799792774,0.000562851,0.000562851
CHCHD6,0.653539979,0.000516317,0.000516317
KALRN,0.712502742,0.000510363,0.000510363
RHBDF2,0.869600833,0.000490716,0.000490716
DHRS3,1.004360725,0.00048641,0.00048641
BAG6-7,0.841129497,0.000482343,0.000482343
CYS1,1.311882289,0.000472199,0.000472199
AK4,1.109400074,0.000429024,0.000429024
KCNIP3-2,3.661985036,0.000427375,0.000427375
SALL2,0.854108339,0.000423378,0.000423378
GMPR,0.701107137,0.000408328,0.000408328
TMEM171,1.174572807,0.000381907,0.000381907
NUDT18,0.725617891,0.000362077,0.000362077
TEX29,2.247887289,0.000354355,0.000354355
LURAP1L,0.742470355,0.000352075,0.000352075
KRTAP1-5,0.823856512,0.000348453,0.000348453
KRTAP1-5-2,0.823856512,0.000348453,0.000348453
INHBE,5.489354043,0.000328535,0.000328535
PRR5,0.72896865,0.000328413,0.000328413
HLA-B-2,0.740506136,0.000327971,0.000327971
FAM43A,0.779815409,0.000318045,0.000318045
MAST3,0.604130594,0.000312823,0.000312823
ADAMTSL4,0.72191616,0.000307601,0.000307601
TBC1D8,0.647800198,0.000304044,0.000304044
MN1,0.849823968,0.000302533,0.000302533
USP18,0.740954167,0.000297462,0.000297462
GSDMD-2,0.678818253,0.000294667,0.000294667
STX11,1.768323707,0.00027281,0.00027281
IL17D,0.837602055,0.000269623,0.000269623
GSDMD,0.682312977,0.000261408,0.000261408
SLC25A23,0.615454881,0.000257869,0.000257869
KCNH2,4.365486176,0.00023263,0.00023263
TMEM140,0.721714774,0.000227193,0.000227193
PKNOX2,1.458074302,0.000218813,0.000218813
LSAMP,0.928147851,0.000212257,0.000212257
RASL12,3.270492431,0.000202322,0.000202322
OBSCN,0.681259767,0.000191969,0.000191969
ACBD4,1.172670354,0.000185226,0.000185226
SCN4B,1.244362894,0.000182378,0.000182378
USP44,0.596264681,0.000181811,0.000181811
APOBEC3F,0.744311391,0.0001762,0.0001762
CAND2,0.686025133,0.000160919,0.000160919
CPT1C,0.650400932,0.000155047,0.000155047
OAS3,0.781288244,0.000148153,0.000148153
SLC44A3,1.497004113,0.000145381,0.000145381
MFSD6,0.83179217,0.00014506,0.00014506
ARHGEF6,0.784298944,0.000116973,0.000116973
IFI30,0.98795045,0.000115846,0.000115846
