#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATF3	EGR1	9606.ENSP00000344352	9606.ENSP00000239938	0	0	0	0	0.381	0.066	0	0.798	0.873
ATF3	STAT3	9606.ENSP00000344352	9606.ENSP00000264657	0	0	0	0	0.067	0.425	0	0.535	0.729
ATF3	TP53	9606.ENSP00000344352	9606.ENSP00000269305	0	0	0	0	0.053	0.743	0	0.933	0.982
ATF3	JUNB	9606.ENSP00000344352	9606.ENSP00000303315	0	0	0	0	0.404	0.774	0	0.754	0.964
ATF3	FOSL1	9606.ENSP00000344352	9606.ENSP00000310170	0	0	0	0.771	0.070	0.193	0	0.853	0.880
ATF3	SMAD3	9606.ENSP00000344352	9606.ENSP00000332973	0	0	0	0	0.044	0.510	0	0.976	0.988
CTCF	TP53	9606.ENSP00000494538	9606.ENSP00000269305	0	0	0	0	0.070	0.046	0	0.824	0.830
CTCF	SMAD3	9606.ENSP00000494538	9606.ENSP00000332973	0	0	0	0	0.049	0.314	0	0.579	0.702
EGR1	STAT3	9606.ENSP00000239938	9606.ENSP00000264657	0	0	0	0	0.062	0.058	0	0.751	0.761
EGR1	STAT1	9606.ENSP00000239938	9606.ENSP00000354394	0	0	0	0	0.086	0.058	0.500	0.667	0.837
EGR1	FOSL1	9606.ENSP00000239938	9606.ENSP00000310170	0	0	0	0	0.067	0.066	0.500	0.721	0.862
EGR1	PPARG	9606.ENSP00000239938	9606.ENSP00000287820	0	0	0	0	0	0.067	0.500	0.870	0.934
EGR1	TP53	9606.ENSP00000239938	9606.ENSP00000269305	0	0	0	0	0.057	0.759	0.500	0.765	0.969
EGR1	JUNB	9606.ENSP00000239938	9606.ENSP00000303315	0	0	0	0	0.582	0.634	0.500	0.657	0.970
EPAS1	TP53	9606.ENSP00000263734	9606.ENSP00000269305	0	0	0	0	0	0	0	0.736	0.736
EPAS1	SMAD3	9606.ENSP00000263734	9606.ENSP00000332973	0	0	0	0	0.062	0.598	0	0.516	0.801
ETS1	NFKB1	9606.ENSP00000376436	9606.ENSP00000226574	0	0	0	0	0.160	0.426	0	0.507	0.741
ETS1	TP53	9606.ENSP00000376436	9606.ENSP00000269305	0	0	0	0	0.106	0.625	0	0.925	0.972
ETS1	SMAD3	9606.ENSP00000376436	9606.ENSP00000332973	0	0	0	0	0.137	0.387	0	0.680	0.816
FOSL1	JUNB	9606.ENSP00000310170	9606.ENSP00000303315	0	0	0	0	0.101	0.830	0.900	0.996	0.999
IRF1	NFKB1	9606.ENSP00000245414	9606.ENSP00000226574	0	0	0	0	0.260	0.059	0	0.615	0.709
IRF1	STAT6	9606.ENSP00000245414	9606.ENSP00000300134	0	0	0	0	0.148	0.422	0	0.520	0.743
IRF1	STAT3	9606.ENSP00000245414	9606.ENSP00000264657	0	0	0	0	0.197	0.292	0	0.838	0.900
IRF1	STAT2	9606.ENSP00000245414	9606.ENSP00000315768	0	0	0	0	0.215	0	0.500	0.909	0.961
IRF1	STAT1	9606.ENSP00000245414	9606.ENSP00000354394	0	0	0	0	0.440	0.805	0.500	0.997	0.999
JUNB	STAT3	9606.ENSP00000303315	9606.ENSP00000264657	0	0	0	0	0.213	0.087	0.500	0.443	0.773
JUNB	SMAD3	9606.ENSP00000303315	9606.ENSP00000332973	0	0	0	0	0.054	0.294	0.500	0.608	0.852
NFKB1	SMAD3	9606.ENSP00000226574	9606.ENSP00000332973	0	0	0	0	0.135	0.046	0	0.738	0.765
NFKB1	STAT6	9606.ENSP00000226574	9606.ENSP00000300134	0	0	0	0	0.112	0.294	0	0.792	0.858
NFKB1	STAT1	9606.ENSP00000226574	9606.ENSP00000354394	0	0	0	0	0.129	0.045	0	0.918	0.926
NFKB1	STAT3	9606.ENSP00000226574	9606.ENSP00000264657	0	0	0	0	0.126	0.598	0	0.902	0.962
NFKB1	PPARG	9606.ENSP00000226574	9606.ENSP00000287820	0	0	0	0	0.087	0.292	0.750	0.851	0.972
NFKB1	TP53	9606.ENSP00000226574	9606.ENSP00000269305	0	0	0	0	0.098	0.045	0	0.989	0.989
PPARG	STAT3	9606.ENSP00000287820	9606.ENSP00000264657	0	0	0	0	0.055	0.045	0	0.823	0.826
PPARG	TP53	9606.ENSP00000287820	9606.ENSP00000269305	0	0	0	0	0	0.305	0.500	0.866	0.949
PPARG	STAT1	9606.ENSP00000287820	9606.ENSP00000354394	0	0	0	0	0.083	0.294	0	0.740	0.817
PPARG	STAT6	9606.ENSP00000287820	9606.ENSP00000300134	0	0	0	0	0.099	0.294	0	0.759	0.833
PPARG	SMAD3	9606.ENSP00000287820	9606.ENSP00000332973	0	0	0	0	0.086	0.512	0	0.897	0.950
SMAD3	STAT3	9606.ENSP00000332973	9606.ENSP00000264657	0	0	0	0	0.061	0.292	0	0.874	0.909
SMAD3	TP53	9606.ENSP00000332973	9606.ENSP00000269305	0	0	0	0	0.093	0.469	0	0.929	0.963
SMAD3	STAT1	9606.ENSP00000332973	9606.ENSP00000354394	0	0	0	0	0.106	0	0	0.838	0.849
SNAI2	TP53	9606.ENSP00000020945	9606.ENSP00000269305	0	0	0	0	0	0.292	0.500	0.780	0.915
STAT1	STAT3	9606.ENSP00000354394	9606.ENSP00000264657	0	0	0.064	0.947	0.192	0.874	0.900	0.982	0.999
STAT1	TP53	9606.ENSP00000354394	9606.ENSP00000269305	0	0	0	0	0.058	0	0	0.777	0.781
STAT1	STAT6	9606.ENSP00000354394	9606.ENSP00000300134	0	0	0.104	0.625	0.063	0	0.650	0.633	0.877
STAT1	STAT2	9606.ENSP00000354394	9606.ENSP00000315768	0	0	0.075	0.884	0.662	0.886	0.900	0.985	0.999
STAT2	STAT3	9606.ENSP00000315768	9606.ENSP00000264657	0	0	0.085	0.862	0.135	0.301	0.650	0.800	0.954
STAT2	STAT6	9606.ENSP00000315768	9606.ENSP00000300134	0	0	0.129	0.601	0.117	0.292	0.900	0.873	0.991
STAT3	STAT6	9606.ENSP00000264657	9606.ENSP00000300134	0	0	0.105	0.631	0.163	0.101	0.700	0.577	0.899
STAT3	TP53	9606.ENSP00000264657	9606.ENSP00000269305	0	0	0	0	0.063	0.164	0.800	0.970	0.994
STAT6	TP53	9606.ENSP00000300134	9606.ENSP00000269305	0	0	0	0	0.061	0.230	0.500	0.519	0.803
