"Sample","ssGSEA_Score"
"TCGA-XX-A89A-01A-11R-A36F-07",0.539980908569274
"TCGA-BH-A18S-11A-43R-A12D-07",0.539961472204154
"TCGA-E2-A1IJ-01A-11R-A144-07",0.539655820886454
"TCGA-BH-A1F0-11B-23R-A137-07",0.538186760420256
"TCGA-A2-A0T6-01A-11R-A084-07",0.537297564768016
"TCGA-D8-A1JU-01A-11R-A13Q-07",0.537145819423574
"TCGA-BH-A0B6-01A-11R-A19W-07",0.537023999519994
"TCGA-AN-A0FN-01A-11R-A034-07",0.535866914403671
"TCGA-AC-A2FM-11B-32R-A19W-07",0.535701720885209
"TCGA-AO-A0J5-01A-11R-A034-07",0.53493284720707
"TCGA-BH-A1ET-11B-23R-A137-07",0.534377427672925
"TCGA-E2-A1LS-11A-32R-A157-07",0.534372690343613
"TCGA-AO-A126-01A-11R-A10J-07",0.534331877154521
"TCGA-D8-A27T-01A-11R-A16F-07",0.533781713027814
"TCGA-A8-A096-01A-11R-A00Z-07",0.533624320271933
"TCGA-LL-A5YP-01A-21R-A28M-07",0.533306934892592
"TCGA-A2-A0CO-01A-13R-A22K-07",0.53318946977898
"TCGA-E9-A3X8-01A-31R-A22U-07",0.533114746866874
"TCGA-A2-A0YD-01A-11R-A109-07",0.53292657511995
"TCGA-D8-A73U-01A-11R-A33J-07",0.532769015342528
"TCGA-OL-A97C-01A-32R-A41B-07",0.532068393403716
"TCGA-A2-A4RX-01A-11R-A266-07",0.531993165508247
"TCGA-BH-A28O-01A-11R-A22K-07",0.531904043500243
"TCGA-AN-A03X-01A-21R-A00Z-07",0.531894320971384
"TCGA-AR-A2LN-01A-21R-A18M-07",0.531214201061477
"TCGA-AC-A3YI-01A-21R-A239-07",0.530529897646665
"TCGA-BH-A18J-11A-31R-A12D-07",0.529531012269815
"TCGA-AC-A23E-01A-11R-A157-07",0.529180224195963
"TCGA-E2-A15I-11A-32R-A137-07",0.529138814223553
"TCGA-BH-A0B0-01A-21R-A115-07",0.529002930922398
"TCGA-BH-A18U-11A-23R-A12D-07",0.52844648579393
"TCGA-E9-A22A-01A-11R-A157-07",0.528098189271843
"TCGA-BH-A5J0-01A-11R-A27Q-07",0.527997832127691
"TCGA-BH-A0BF-01A-21R-A12P-07",0.527499569495546
"TCGA-BH-A1FM-11B-23R-A13Q-07",0.527418406370059
"TCGA-BH-A0BQ-01A-21R-A115-07",0.52741117779194
"TCGA-BH-A1FJ-11B-42R-A13Q-07",0.527281887385579
"TCGA-BH-A0BW-11A-12R-A115-07",0.5271511452568
"TCGA-S3-AA15-01A-11R-A41B-07",0.526991602114434
"TCGA-AQ-A7U7-01A-22R-A352-07",0.526827186325132
"TCGA-BH-A1FH-01A-12R-A13Q-07",0.526677855247351
"TCGA-AC-A2FF-01A-11R-A17B-07",0.52644718579097
"TCGA-4H-AAAK-01A-12R-A41B-07",0.526365562414568
"TCGA-BH-A18V-11A-52R-A12D-07",0.526265761250167
"TCGA-EW-A1P7-01A-21R-A144-07",0.525467140180595
"TCGA-A2-A0CR-01A-11R-A22K-07",0.524775782648167
"TCGA-B6-A0RH-01A-21R-A115-07",0.523950846124205
"TCGA-AN-A0XL-01A-11R-A10J-07",0.523654673451378
"TCGA-A8-A08H-01A-21R-A00Z-07",0.52328201638078
"TCGA-BH-A0AV-01A-31R-A115-07",0.523191387544528
"TCGA-BH-A0BJ-11A-23R-A089-07",0.523021316442633
"TCGA-BH-A42U-01A-12R-A24H-07",0.522892008572325
"TCGA-BH-A1EV-11A-24R-A137-07",0.522527151787892
"TCGA-BH-A1FR-11B-42R-A13Q-07",0.522377186341567
"TCGA-E9-A5FK-01A-11R-A27Q-07",0.522117607734924
"TCGA-EW-A2FR-01A-11R-A21T-07",0.521926088629944
"TCGA-LD-A9QF-01A-32R-A41B-07",0.521747757994822
"TCGA-AC-A3W5-01A-11R-A22K-07",0.521691209835128
"TCGA-AO-A0JF-01A-11R-A056-07",0.521507835312853
"TCGA-AC-A7VC-01A-11R-A352-07",0.521505418154776
"TCGA-E2-A153-11A-31R-A12D-07",0.521409228416275
"TCGA-BH-A1FD-11B-21R-A13Q-07",0.519848732958738
"TCGA-AC-A3BB-01A-21R-A19W-07",0.519818539925899
"TCGA-LD-A74U-01A-13R-A33J-07",0.519455089313561
"TCGA-AO-A0JE-01A-11R-A056-07",0.519394767441395
"TCGA-BH-A0EA-01A-11R-A115-07",0.518857839430171
"TCGA-HN-A2OB-01A-21R-A27Q-07",0.51873322669382
"TCGA-OL-A5S0-01A-11R-A28M-07",0.518034785567437
"TCGA-A2-A25A-01A-12R-A16F-07",0.518016317086559
"TCGA-XX-A899-01A-11R-A36F-07",0.517650407697473
"TCGA-A7-A5ZW-01A-12R-A29R-07",0.517369009233172
"TCGA-AN-A0XN-01A-21R-A109-07",0.517175855328249
"TCGA-OL-A6VQ-01A-12R-A41B-07",0.5170687125333
"TCGA-A2-A0EW-01A-21R-A115-07",0.516723067593848
"TCGA-D8-A1Y2-01A-11R-A157-07",0.516504073095913
"TCGA-GM-A3XN-01A-12R-A22U-07",0.516261003795171
"TCGA-BH-A0BR-01A-21R-A115-07",0.516085705314672
"TCGA-BH-A0BV-11A-31R-A089-07",0.515601243971537
"TCGA-A2-A0EO-01A-11R-A034-07",0.515530516801025
"TCGA-E2-A1IO-01A-11R-A144-07",0.515501222095089
"TCGA-A7-A0CG-01A-12R-A056-07",0.515376225500213
"TCGA-A1-A0SI-01A-11R-A144-07",0.515114111891222
"TCGA-BH-A0H7-01A-13R-A056-07",0.51483210703424
"TCGA-BH-A1FU-11A-23R-A14D-07",0.514579552547609
"TCGA-BH-A0HA-01A-11R-A12P-07",0.514519306613884
"TCGA-BH-A8G0-01A-11R-A352-07",0.513939378858279
"TCGA-AC-A8OS-01A-12R-A41B-07",0.513768607008242
"TCGA-OL-A66I-01A-21R-A29R-07",0.513758854648326
"TCGA-A2-A0CS-01A-11R-A115-07",0.513618469151066
"TCGA-A7-A6VY-01A-12R-A33J-07",0.513240762004345
"TCGA-E9-A6HE-01A-11R-A31O-07",0.513182437829963
"TCGA-AR-A2LJ-01A-12R-A19W-07",0.512840933739704
"TCGA-D8-A27H-01A-11R-A16F-07",0.512520361192081
"TCGA-LD-A66U-01A-11R-A31O-07",0.51201226558709
"TCGA-3C-AALK-01A-11R-A41B-07",0.511931565164376
"TCGA-BH-A0BQ-11A-33R-A115-07",0.511682161459154
"TCGA-OL-A66N-01A-12R-A31O-07",0.511628728255616
"TCGA-BH-A18P-11A-43R-A12D-07",0.511599540736825
"TCGA-AN-A0AL-01A-11R-A00Z-07",0.511594659666711
"TCGA-AC-A2FO-01A-11R-A180-07",0.511579571456374
"TCGA-MS-A51U-01A-31R-A266-07",0.511463161214233
"TCGA-5L-AAT0-01A-12R-A41B-07",0.511337957745958
"TCGA-AC-A3HN-01A-11R-A213-07",0.511159360286984
"TCGA-AR-A24V-01A-21R-A169-07",0.511112637675466
"TCGA-AC-A6IV-01A-12R-A33J-07",0.51107412668464
"TCGA-A7-A4SD-01A-11R-A266-07",0.511023831950226
"TCGA-A2-A0YK-01A-22R-A109-07",0.510907050113152
"TCGA-BH-A0RX-01A-21R-A084-07",0.510780261038524
"TCGA-GI-A2C8-01A-11R-A16F-07",0.510684526759476
"TCGA-AO-A128-01A-11R-A10J-07",0.510617192667949
"TCGA-BH-A0BP-01A-11R-A115-07",0.510449877288083
"TCGA-E9-A1NC-01A-21R-A26B-07",0.510406597330587
"TCGA-A8-A07G-01A-11R-A034-07",0.510275860888394
"TCGA-E9-A229-01A-31R-A157-07",0.510124033022508
"TCGA-EW-A1IX-01A-12R-A144-07",0.510100401669486
"TCGA-BH-A1EU-11A-23R-A137-07",0.510004983251563
"TCGA-BH-A0AY-01A-21R-A00Z-07",0.509992803346554
"TCGA-A8-A08Z-01A-21R-A00Z-07",0.509882661377687
"TCGA-E2-A1IF-01A-11R-A144-07",0.509071578124579
"TCGA-BH-A0C3-01A-21R-A12P-07",0.508775399665554
"TCGA-A2-A3XY-01A-11R-A239-07",0.508535790269504
"TCGA-AC-A2B8-01A-11R-A17B-07",0.508326278084192
"TCGA-B6-A0WX-01A-11R-A109-07",0.507769238959194
"TCGA-B6-A0IH-01A-11R-A115-07",0.507742299786239
"TCGA-BH-A1F0-01A-11R-A137-07",0.506688946991459
"TCGA-BH-A0AZ-11A-22R-A12P-07",0.506616623264322
"TCGA-AN-A0XW-01A-11R-A109-07",0.506545573458312
"TCGA-A2-A0ES-01A-11R-A115-07",0.506520300920955
"TCGA-BH-A0DP-01A-21R-A056-07",0.506175856840006
"TCGA-BH-A1FG-11B-12R-A13Q-07",0.50603394608353
"TCGA-BH-A0B3-11B-21R-A089-07",0.505786313387035
"TCGA-A7-A4SE-01A-11R-A266-07",0.505666583116152
"TCGA-WT-AB44-01A-11R-A41B-07",0.505495216344658
"TCGA-E9-A1N5-11A-41R-A14D-07",0.504955428792062
"TCGA-AR-A1AO-01A-11R-A12P-07",0.504814535775979
"TCGA-A7-A6VV-01A-22R-A33J-07",0.504643033973745
"TCGA-BH-A0H5-01A-21R-A115-07",0.504624975750867
