Feature,Fold_Enrichment,Overlaps_A,Total_A,Cell
TP53,1.53431,8,201,hESC derived endodermal cells
TP53,1.53431,6,201,U2OS
JUN,1.53257,51,201,GM07492
SMAD3,1.52366,13,201,A549
NFKB1,1.52174,2,201,293
SMAD3,1.52174,6,201,MDA-MB-231
JUN,1.52174,2,201,LNCAP
JUN,1.51048,11,201,Myometrium
TP53,1.50936,10,201,Keratinocytes
STAT3,1.49939,11,201,HCC1143
SMAD3,1.49719,3,201,SW 480
TP53,1.49719,1,201,HCT 116
TP53,1.49719,1,201,iPSC derived astrocytes
JUN,1.49008,71,201,LPS141
NFKB1,1.48872,17,201,CD4+ T cells
STAT3,1.48334,38,201,MDA-MB-157
TP53,1.47812,5,201,MCF-7
SMAD3,1.47757,17,201,LX2
TP53,1.47343,3,201,U2OS
TP53,1.47343,1,201,MCF-7
TP53,1.47343,1,201,HCT 116
STAT3,1.46055,9,201,MCF10DCIS.com
TCF4,1.4539,13,201,hESC HUES64
JUN,1.45178,33,201,hESC HUES8
JUN,1.4504,32,201,Renal cell carcinoma
JUN,1.44664,18,201,A549
TP53,1.44589,5,201,NCI-H1299
TP53,1.43545,3,201,U2OS
TP53,1.4344,7,201,hESC derived endodermal cells
JUN,1.43176,12,201,MCF-7
NFKB1,1.42809,18,201,GM12878
TP53,1.42809,4,201,T cells
NFKB1,1.42371,15,201,CD4+ T cells
SNAI2,1.42015,11,201,Keratinocytes
NFKB1,1.41503,5,201,CD4+ T cells
STAT3,1.40415,37,201,MDA-MB-231
STAT3,1.40173,9,201,MCF10DCIS.com
JUN,1.39326,8,201,CAR-T cells
TP53,1.39065,4,201,293
JUN,1.38961,5,201,A549
JUN,1.38546,2,201,HUVEC
TCF4,1.38546,1,201,hESC derived endodermal cells
TP53,1.38546,1,201,IMR-90
STAT3,1.38202,6,201,MCF-7
STAT3,1.37958,35,201,T-47D
TP53,1.3786,3,201,HCT 116
TP53,1.3752,2,201,U2OS
JUN,1.36844,30,201,MDA-MB-231
TP53,1.36308,10,201,U2OS
TCF4,1.36038,17,201,hESC derived mesendodermal cells
TP53,1.36009,8,201,hESC H9
STAT3,1.35928,31,201,MCF 10A
NFKB1,1.35843,6,201,HeLa
JUN,1.35529,59,201,HCASMC
JUN,1.35402,27,201,MDA-MB-231
TP53,1.34809,7,201,NCI-H1299
SNAI2,1.3453,2,201,Unclassified
SMAD3,1.3453,1,201,hESC H1
TP53,1.3453,1,201,NCI-H1299
SNAI2,1.3438,13,201,hESC derived mesendodermal cells
TP53,1.34098,9,201,U2OS
JUN,1.34064,25,201,MDA-MB-231
STAT3,1.32608,1,201,Th17 Cells
TP53,1.32419,10,201,Dermal fibroblast
