TF
IRF1
EGR1
ELK3
HLX
REST
HMGA2
NR3C1
ETV1
PRRX1
EPAS1
PPARG
PRRX2
ETV4
ARID5B
TBX3
E2F7
SMAD3
FOXF1
NFIL3
CREB3L2
ZNF512B
MYBL1
ZNF469
ZNF146
FOSL1
TBX2
ATF3
HIC1
STAT6
STAT2
FOXD1
ETS1
DNMT1
GTF2I
STAT1
MYBL2
ARNT2
MSX2
TP53
PA2G4
UBP1
ZBTB38
SP3
CREB3L1
ZBTB2
CEBPD
SNAI2
ZNF281
FOXP1
PURB
IRF9
GTF2B
SOX9
HOXB2
TEAD1
SMAD5
ZNF219
NR1D2
MXD3
JUNB
MEIS3
GTF3A
CTCF
GATAD2A
ZFP91
