GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Up/Down-Regulation
HR,5422,0.86,0.96,0.74,0.4,0.47,0.55,0.91942931,0.002764719,0.002764719,*
SELENOP,2056,0.24,0.55,0.61,0,0.04,0.15,3.198207657,0.002721812,0.002721812,Up
ADAMTS14,5561,0.83,0.92,1.21,0.49,0.42,0.57,0.967245341,0.00264454,0.00264454,*
SLC18B1,2372,1.75,1.95,2.37,1.1,0.86,1.23,1.005341354,0.00255146,0.00255146,Up
JAM2,4172,1.82,1.57,0.97,0.35,0.84,0.73,1.234882437,0.002527452,0.002527452,Up
HLA-B,1536,1.85,1.77,1.93,0.75,0.48,0.32,1.690421614,0.002524441,0.002524441,Up
FAM89A,1503,7.64,7.07,7.22,5.25,4.99,4.84,0.607550291,0.00236439,0.00236439,*
CCN3,2463,1.97,2.51,2.6,1.52,1.34,1.2,0.866255986,0.002319099,0.002319099,*
IFT43,822,19.52,20.37,19.86,10.07,16.1,13.78,0.644636361,0.002202594,0.002202594,*
PCED1A,1888,6.46,9.47,6.98,4.4,5,5.21,0.667274005,0.002190523,0.002190523,*
CDKN2B,3853,1.62,2.19,1.94,1.26,0.9,1.31,0.795604572,0.002041509,0.002041509,*
MFSD13A,1886,1.3,1.14,0.99,0.3,0.49,0.3,1.656350857,0.001977774,0.001977774,Up
SPRY1,2718,1.3,1.76,1.54,0.72,0.77,0.9,1.000631988,0.001886186,0.001886186,Up
EDNRB,4300,1.03,1.01,2.1,0.68,0.48,0.62,1.083091612,0.001871923,0.001871923,Up
CYRIA,4681,1.16,1.97,1.57,0.81,1.01,0.94,0.835864804,0.001862719,0.001862719,*
PSMB8,1166,6.95,6.95,7.13,3.94,4.71,3.96,0.784626165,0.001834894,0.001834894,*
PSMB8-2,1166,6.95,6.95,7.13,3.94,4.71,3.96,0.784626165,0.001834894,0.001834894,*
PSMB8-3,1166,6.95,6.95,7.13,3.94,4.71,3.96,0.784626165,0.001834894,0.001834894,*
PSMB8-5,1166,6.95,6.95,7.13,3.94,4.71,3.96,0.784626165,0.001834894,0.001834894,*
PSMB8-6,1166,6.95,6.95,7.13,3.94,4.71,3.96,0.784626165,0.001834894,0.001834894,*
PSMB8-7,1166,6.95,6.95,7.13,3.94,4.71,3.96,0.784626165,0.001834894,0.001834894,*
PSMB8-8,1166,6.95,6.95,7.13,3.94,4.71,3.96,0.784626165,0.001834894,0.001834894,*
KRT19,1390,10.24,9.97,10.54,5.86,8.35,6.94,0.606260461,0.001831614,0.001831614,*
ZSWIM4,4688,1.99,2.18,1.94,1.29,1.67,1.14,0.67514891,0.001823655,0.001823655,*
ADAMTS15,5170,0.32,0.52,0.36,0.14,0.12,0.24,1.498813424,0.001822703,0.001822703,Up
MGST2,740,14.78,15.67,11.84,6.97,7.54,10.41,0.817273539,0.001820838,0.001820838,*
KCTD16,8104,0.11,0.09,0.15,0.05,0.03,0.05,1.793129162,0.00175474,0.00175474,Up
ADAMTS19,4646,0.93,0.51,0.63,0.11,0.36,0.29,1.462870591,0.001748056,0.001748056,Up
PSMG3-AS1,5075,0.64,0.86,0.98,0.47,0.5,0.39,1.040503683,0.001727707,0.001727707,Up
CCDC57,4248,1.55,2.07,1.71,0.75,1.06,1.36,0.76187135,0.001722437,0.001722437,*
PPP1R14A,560,19.09,21.49,15,11.25,7.92,10.71,0.959217869,0.001669494,0.001669494,*
CLDN23,2160,2.31,3.42,2.75,1.36,1.69,1.67,0.910382049,0.00165181,0.00165181,*
IL34,1702,0.45,0.34,0.07,0,0,0,5.633629783,0.001547974,0.001547974,Up
SOX6,8915,1.46,1,1.51,0.81,0.75,1.02,0.689795111,0.001515019,0.001515019,*
DNALI1,2628,2.58,2.02,2.51,1.33,1.03,1.62,0.911355866,0.001433301,0.001433301,*
ANK2,5059,0.5,0.67,0.64,0.38,0.38,0.36,1.031957194,0.00140946,0.00140946,Up
BRD2-5,3506,0.08,0,0.6,0,0.03,0,5.587451555,0.00134283,0.00134283,Up
IFNAR2-IL10RB,2818,3.61,4.04,3.75,2.44,2.97,1.65,0.755271979,0.001334312,0.001334312,*
TLCD2,5884,0.93,0.82,0.8,0.54,0.43,0.43,0.933872033,0.001313739,0.001313739,*
TLCD2-2,5884,0.93,0.82,0.8,0.54,0.43,0.43,0.933872033,0.001313739,0.001313739,*
LRRN4CL,2212,1.86,1.94,2.34,0.91,0.91,1.26,1.067798072,0.001306846,0.001306846,Up
TCAF2-2,1086,2.39,2.58,2.05,0.79,1.43,1.43,1.522564838,0.00129938,0.00129938,Up
TMEM8B,3000,3.5,4.98,5.36,2.98,2.96,3.54,0.58925113,0.001296766,0.001296766,*
CCDC136,3449,3.33,2.84,2.69,1.87,2.07,2.09,0.682139542,0.001205229,0.001205229,*
CLSTN3-2,4013,2.45,2.73,2.38,1.73,1.72,1.62,0.640472713,0.001203327,0.001203327,*
NINL,4680,1.55,1.56,1.58,0.78,0.98,1.16,0.777513439,0.001153354,0.001153354,*
DIO2,6017,0.72,0.49,0.73,0.27,0.36,0.3,1.122555777,0.001137591,0.001137591,Up
PRRT3,3381,3.01,4.58,3.2,2.24,2.35,1.73,0.736061125,0.001097516,0.001097516,*
PCDHGB2,4736,2.26,2,1.89,1.5,1.07,1.04,0.788774461,0.001072438,0.001072438,*
ROBO3,1555,9.16,8.86,6.97,6.48,3.88,5.65,0.729586466,0.001066017,0.001066017,*
SYPL2,3597,1.61,1.4,1.7,0.98,0.63,0.84,0.964896698,0.001065154,0.001065154,*
MTUS1,3643,0.46,0.25,0.35,0.08,0.1,0.07,2.217777708,0.001053826,0.001053826,Up
ZNF862,8555,1.02,1.06,0.88,0.59,0.55,0.56,0.758176734,0.001034919,0.001034919,*
RASL10B,2969,2.53,2.8,2.76,1.44,1.89,1.57,0.76104506,0.000966028,0.000966028,*
PARP10,3651,3.06,3.63,3.1,2.26,2.02,2.33,0.633995029,0.000929831,0.000929831,*
PPP1R11-5,1444,0.51,1.53,0.67,0.14,0.11,0.17,2.84302541,0.00091948,0.00091948,Up
TUBB-2,2515,157.94,157.82,113.61,87.8,110.21,101.49,0.586845731,0.000915741,0.000915741,*
TET3,10212,1.41,1.54,1.42,1.24,0.83,1.23,0.594270014,0.000894884,0.000894884,*
ACSL5,3355,2.39,2.08,1.63,1.18,1.11,1.19,0.87634377,0.000882171,0.000882171,*
ALDH6A1,5488,2.44,2.04,2.44,1.39,1.74,1.58,0.621078394,0.000870586,0.000870586,*
PTK2B,4465,0.53,0.43,0.78,0.27,0.21,0.16,1.532653057,0.000859247,0.000859247,Up
PPL,6250,0.11,0.24,0.11,0.03,0.02,0.01,3.035859882,0.000849543,0.000849543,Up
SPIRE2,3268,1.1,1.91,1.46,0.64,0.81,0.71,1.115738871,0.000836685,0.000836685,Up
SLC7A14,10140,0.25,0.22,0.15,0.04,0.08,0.07,1.729707377,0.00081087,0.00081087,Up
DDO,1777,0.65,0.15,0.74,0.06,0.11,0.1,3.24354183,0.000810633,0.000810633,Up
PGM5P4-AS1,502,1.23,4.7,6.08,0.59,0.83,0.34,2.771867346,0.000802339,0.000802339,Up
GPNMB,2254,2.7,3.84,3.61,1.31,1.78,2.24,0.869286997,0.0007992,0.0007992,*
ZBED3,6134,0.69,0.93,0.68,0.29,0.49,0.35,1.108541206,0.000793788,0.000793788,Up
RASGRP1,4926,0.06,0.24,0.12,0,0,0.01,5.228607266,0.00078411,0.00078411,Up
ENOX1,3100,1.39,1.72,1.07,0.7,0.63,0.52,1.199334605,0.000779799,0.000779799,Up
ZNF462,11349,0.99,1.16,1.14,0.74,0.65,0.77,0.609670045,0.000753345,0.000753345,*
SAMD14,4763,3.55,5.3,3.97,2.74,3.38,2.71,0.603674863,0.000714693,0.000714693,*
ZNF853,3869,1.11,1.78,1.24,0.56,0.8,0.69,1.078428556,0.000713664,0.000713664,Up
MANSC1,5532,0.86,0.81,0.88,0.5,0.33,0.46,1.055539854,0.000712994,0.000712994,Up
MANSC1-2,5532,0.86,0.81,0.88,0.5,0.33,0.46,1.055539854,0.000712994,0.000712994,Up
TAP2,2511,16.3,4.55,12.98,3.07,4.03,2.21,1.932371215,0.000671936,0.000671936,Up
PTP4A3-3,2710,0.49,0.14,0.39,0.06,0,0.04,3.61570362,0.00064921,0.00064921,Up
EPSTI1,1932,2.49,3.01,3.09,1.78,1.19,3.1,0.888003639,0.000648397,0.000648397,*
TGFBR3,6129,2.17,2.15,2.33,1.32,1.63,1.64,0.597758748,0.00064456,0.00064456,*
KCNJ5-AS1,3538,0.79,0.9,0.83,0.35,0.27,0.41,1.371246751,0.000640518,0.000640518,Up
COL18A1,3815,1.38,2.25,1.63,0.58,1.32,0.86,1.100518206,0.000639713,0.000639713,Up
AS3MT,2450,0.99,1.91,1.81,0.91,0.2,0.34,1.772917529,0.000569765,0.000569765,Up
DNAH5,6741,2.02,1.05,1.02,0.88,0.85,0.62,0.873660952,0.000568546,0.000568546,*
VARS1-3,4069,6.1,5.19,7.33,2.89,4.82,4.73,0.657068982,0.000565459,0.000565459,*
VARS1-4,4069,6.1,5.19,7.33,2.89,4.82,4.73,0.657068982,0.000565459,0.000565459,*
USP46-DT,2763,2.97,2.81,2.44,1.61,1.48,2.01,0.799792774,0.000562851,0.000562851,*
CHCHD6,1000,15.33,16.69,14.44,10.56,11.03,9.3,0.653539979,0.000516317,0.000516317,*
RARRES2,685,2.14,4.77,5.38,0.54,0.88,1.33,2.237965687,0.000510678,0.000510678,Up
KALRN,5386,2.05,2.22,1.7,1.19,1.32,1.12,0.712502742,0.000510363,0.000510363,*
GATA6,3624,0.57,0.73,0.83,0.32,0.21,0.21,1.596751077,0.000506638,0.000506638,Up
SYNPO2,7659,0.99,0.73,0.86,0.55,0.29,0.47,1.014856658,0.000504596,0.000504596,Up
RHBDF2,3549,2.15,2.02,1.65,1.08,1.11,1.13,0.869600833,0.000490716,0.000490716,*
DHRS3,1979,3.87,4.49,5.98,2.04,3.52,1.79,1.004360725,0.00048641,0.00048641,Up
BAG6-7,3568,2.22,2.13,1.85,1.06,1.2,1.39,0.841129497,0.000482343,0.000482343,*
PIK3C2B,7658,0.45,0.47,0.46,0.17,0.23,0.2,1.239976684,0.00047745,0.00047745,Up
CYS1,3045,1.21,1.17,1.2,0.42,0.67,0.43,1.311882289,0.000472199,0.000472199,Up
AK4,6845,0.65,0.76,0.82,0.37,0.46,0.26,1.109400074,0.000429024,0.000429024,Up
PCDHGA4,4778,3.89,3.47,3.57,2.96,2.34,2.25,0.599656136,0.000427932,0.000427932,*
KCNIP3-2,3085,0.23,0.83,0.28,0,0.12,0,3.661985036,0.000427375,0.000427375,Up
SALL2,4861,1.53,1.94,1.44,0.87,0.88,1.08,0.854108339,0.000423378,0.000423378,*
GMPR,1508,7.69,10.82,10.15,6.17,6.41,5.64,0.701107137,0.000408328,0.000408328,*
TMEM171,1239,4.96,4.06,3.83,1.79,2.41,1.8,1.174572807,0.000381907,0.000381907,Up
COLEC12,5724,1.49,1.34,1.49,0.99,0.72,0.85,0.818491542,0.000364644,0.000364644,*
NUDT18,1513,7.22,8.48,7.91,5.55,4.52,4.88,0.725617891,0.000362077,0.000362077,*
TEX29,739,5.44,2.73,2.91,0.68,0.77,0.85,2.247887289,0.000354355,0.000354355,Up
LURAP1L,2213,4.15,3.94,4.36,2.47,2.45,2.66,0.742470355,0.000352075,0.000352075,*
KRTAP1-5,1183,8.19,7.89,8.63,4.65,4.48,5.48,0.823856512,0.000348453,0.000348453,*
KRTAP1-5-2,1183,8.19,7.89,8.63,4.65,4.48,5.48,0.823856512,0.000348453,0.000348453,*
INHBE,2460,0.57,0.14,0.25,0,0,0.02,5.489354043,0.000328535,0.000328535,Up
PRR5,1840,5.9,6.17,6.37,3.89,4.02,3.51,0.72896865,0.000328413,0.000328413,*
HLA-B-2,698,17.71,19.32,20.77,12.01,8.98,12.66,0.740506136,0.000327971,0.000327971,*
FAM43A,3155,2.81,4.42,4.05,2.27,2.3,2.31,0.779815409,0.000318045,0.000318045,*
MAST3,6107,2.35,2.71,2.89,1.92,2,1.6,0.604130594,0.000312823,0.000312823,*
ADAMTSL4,4176,3.33,3.31,2.48,1.63,1.89,2.02,0.72191616,0.000307601,0.000307601,*
TBC1D8,4089,3.13,3.8,3.84,2.77,2.14,2.34,0.647800198,0.000304044,0.000304044,*
MN1,7814,1.05,0.91,0.93,0.49,0.57,0.61,0.849823968,0.000302533,0.000302533,*
USP18,1748,7.79,5.99,6.71,4.09,4.71,4.9,0.740954167,0.000297462,0.000297462,*
GSDMD-2,1727,7.73,9.44,7.55,4.65,7.25,5.22,0.678818253,0.000294667,0.000294667,*
PCDHGA2,4690,2.28,2.39,2.31,1.18,1.46,1.71,0.75501977,0.000283634,0.000283634,*
KIT,5136,3.25,2.26,2.73,1.53,1.92,1.85,0.703149315,0.000277812,0.000277812,*
STX11,5659,0.57,0.46,0.31,0.1,0.15,0.17,1.768323707,0.00027281,0.00027281,Up
IL17D,1909,6.31,6.2,5.65,4.47,3.68,2.54,0.837602055,0.000269623,0.000269623,*
STAT5A,3760,2.65,2.74,2.87,1.33,2.12,1.6,0.820012746,0.00026639,0.00026639,*
GSDMD,1727,7.73,8.59,7.55,4.65,5.71,5.22,0.682312977,0.000261408,0.000261408,*
CELSR3,11933,0.51,0.69,0.64,0.32,0.39,0.32,0.909722646,0.000258046,0.000258046,*
SLC25A23,3128,5.37,4.56,4.66,3.64,2.97,3.53,0.615454881,0.000257869,0.000257869,*
PDGFD,3831,2.61,1.74,2.11,1.26,1.14,1.25,0.894421951,0.000244845,0.000244845,*
PCDHGA9,4341,3.99,3.3,4.26,2.71,2.88,2.74,0.587332813,0.000241391,0.000241391,*
CXCL16,2324,0.8,0.9,0.84,0.14,0.19,0.28,2.128414754,0.00023465,0.00023465,Up
KCNH2,2438,0.32,0.43,0.18,0,0,0.07,4.365486176,0.00023263,0.00023263,Up
TMEM140,1997,6.6,6.43,5.75,4.19,3.44,4.34,0.721714774,0.000227193,0.000227193,*
EPHB3,4234,2.01,2.69,1.88,1.16,1.36,1.29,0.853560727,0.000225131,0.000225131,*
PKNOX2,3483,1.28,0.74,1,0.39,0.41,0.33,1.458074302,0.000218813,0.000218813,Up
LSAMP,9416,1.03,1.03,0.8,0.38,0.53,0.4,0.928147851,0.000212257,0.000212257,*
RASL12,3459,0.48,0.68,0.63,0.12,0.02,0.01,3.270492431,0.000202322,0.000202322,Up
OBSCN,10023,0.67,0.97,1.07,0.88,1.17,0.72,0.681259767,0.000191969,0.000191969,*
ACBD4,2084,2.52,2.6,2.67,0.97,1.31,1.19,1.172670354,0.000185226,0.000185226,Up
SCN4B,4203,1.03,0.9,0.86,0.4,0.46,0.4,1.244362894,0.000182378,0.000182378,Up
USP44,3887,5.12,3.78,4.88,3.49,3.26,3.45,0.596264681,0.000181811,0.000181811,*
CLSTN3,4025,2.45,3.09,3.15,1.92,1.88,1.67,0.747843353,0.000179889,0.000179889,*
APOBEC3F,1204,9.04,9.64,8.66,7.95,7.35,6.53,0.744311391,0.0001762,0.0001762,*
SEMA4B,3736,3.41,4.03,3.95,2.12,2.51,2.84,0.696682531,0.000170396,0.000170396,*
CAND2,4573,2.96,2.75,3.2,2.22,1.77,1.78,0.686025133,0.000160919,0.000160919,*
PLXNC1,7300,0.32,0.2,0.36,0.05,0.07,0.03,2.456304061,0.000155286,0.000155286,Up
CPT1C,2816,6.75,7.33,7.15,3.7,5.67,4.81,0.650400932,0.000155047,0.000155047,*
PYCARD,745,21.69,22.46,22.32,15.42,13.05,12.46,0.757799975,0.000153789,0.000153789,*
OAS3,6553,2.11,2.32,1.68,1.1,1.1,1.54,0.781288244,0.000148153,0.000148153,*
SLC44A3,2291,1.82,1.5,1.71,0.68,0.97,0.43,1.497004113,0.000145381,0.000145381,Up
MFSD6,4115,1.88,1.96,2.28,1.19,1.26,1.17,0.83179217,0.00014506,0.00014506,*
ARHGEF6,5031,2.72,2.68,2.14,1.19,1.64,1.71,0.784298944,0.000116973,0.000116973,*
IFI30,988,8.69,10.02,8.08,4.74,4.56,4.84,0.98795045,0.000115846,0.000115846,*
LHFPL2,4253,5.32,3.97,5.84,2.92,2.67,4.19,0.698492714,0.000114349,0.000114349,*
TMEM176B,1053,3.95,5.05,5.56,0,0,0.37,5.456314326,0.000104481,0.000104481,Up
CATSPER2,2879,0.52,0.73,0.97,0.07,0.23,0,3.251224507,8.26E-05,8.26E-05,Up
SDK1,10593,0.28,0.39,0.26,0.1,0.1,0.11,1.575380974,7.03E-05,7.03E-05,Up
PLAAT4,758,4.65,2.12,3.54,0.36,0.46,0.92,2.645736428,6.83E-05,6.83E-05,Up
CYFIP1,6833,0.2,0.01,0.12,0,0,0,6.528624577,6.77E-05,6.77E-05,Up
SLC12A7-2,3684,1.1,1.31,1.35,0.65,0.47,0.62,1.180953721,6.59E-05,6.59E-05,Up
TNFRSF1B,3693,6.57,8.71,7.41,4.49,5.57,5.63,0.594557185,6.59E-05,6.59E-05,*
PAQR5,5462,3.98,3.11,3.61,2.3,2.18,2.6,0.622346689,6.55E-05,6.55E-05,*
P2RX7,4871,0.45,0.63,0.54,0.17,0.18,0.04,2.109966826,6.21E-05,6.21E-05,Up
RASSF4,2969,3.43,3.46,3.64,1.82,1.68,2.49,0.909064844,5.67E-05,5.67E-05,*
SCN3A,8955,0.4,0.33,0.31,0.1,0.04,0.12,2.010575329,5.21E-05,5.21E-05,Up
ANK1,7618,1.16,1.21,1.17,0.6,0.7,0.65,0.884740102,4.71E-05,4.71E-05,*
PYROXD2,2108,5.92,5.54,6.1,3.56,3.15,4.03,0.783204419,4.26E-05,4.26E-05,*
MFHAS1-2,6295,2.37,2.05,1.34,1.02,0.8,1.17,1.009290938,4.14E-05,4.14E-05,Up
TCP11L2,3072,3.77,2.93,2.83,1.97,1.41,1.99,0.932469886,3.73E-05,3.73E-05,*
LMF1,2606,6.94,6.35,5.93,4.44,4.36,3.8,0.679655171,3.70E-05,3.70E-05,*
ABHD8,2042,6.71,6.94,6.76,4.33,4.57,3.86,0.743360545,3.53E-05,3.53E-05,*
GAS1,3145,2.79,2.1,2.39,1.1,1.33,1.27,1.04203709,3.48E-05,3.48E-05,Up
HLA-C-2,717,23.11,18.28,15.45,9.53,8.23,10.84,1.051982257,3.41E-05,3.41E-05,Up
PCDHGB1,4748,2,2.1,1.52,0.82,0.95,0.98,1.001627304,3.18E-05,3.18E-05,Up
IL15RA,1522,11.1,14.32,12.38,8.17,8.8,8.23,0.683710432,3.11E-05,3.11E-05,*
TRO,3883,5.65,4.77,5.44,3.24,3.85,3.64,0.61829806,2.93E-05,2.93E-05,*
PARP9,3984,6.04,3.72,4.81,2.74,2.83,3.13,0.741567078,2.71E-05,2.71E-05,*
WNK4,4171,5.05,5.76,4.92,3.45,3.92,3.35,0.6136792,2.59E-05,2.59E-05,*
SYNGAP1-2,5117,3.45,2.71,1.97,1.91,1.47,1.76,0.814604892,2.42E-05,2.42E-05,*
CASP1,1489,11.16,13.27,12.83,8.36,6.49,8.81,0.736931565,2.15E-05,2.15E-05,*
LZTS3,4021,2.7,3.34,2.28,1.18,1.42,1.89,0.995077878,2.10E-05,2.10E-05,*
CCDC149,4577,4.26,4.16,4.48,3.13,2.73,3.18,0.60011926,2.09E-05,2.09E-05,*
SYTL2,3380,8.25,7.07,9.42,6.47,4.65,5.37,0.632341057,2.09E-05,2.09E-05,*
FAM86B1,2494,3.87,3.73,3.43,1.8,2.08,1.89,0.94093207,2.05E-05,2.05E-05,*
MX1,2710,1.71,1.8,1.56,0.69,0.52,0.78,1.379164646,2.00E-05,2.00E-05,Up
SOD3,1416,4.63,6.21,5.75,2.84,2.7,2.02,1.196255906,1.94E-05,1.94E-05,Up
DGLUCY,2908,6.6,7.67,6.89,4.79,4.32,4.8,0.653013609,1.92E-05,1.92E-05,*
MAOA,3931,1.38,1.35,1.11,0.49,0.59,0.53,1.324146234,1.77E-05,1.77E-05,Up
WNT2,3792,0.63,0.42,0.64,0.15,0.02,0.09,2.701834771,1.54E-05,1.54E-05,Up
INMT,2559,7.86,7.32,6.92,5.11,4.34,5.02,0.677847007,1.33E-05,1.33E-05,*
TCEA3-2,1696,7.41,8.09,7.6,5.06,4.2,4.2,0.86454322,1.31E-05,1.31E-05,*
ECHDC2,1669,5.3,4.93,3.33,2.13,1.82,2.61,1.114036295,1.24E-05,1.24E-05,Up
KDM6B,6753,2.82,2.9,2.83,2.01,1.92,1.88,0.615503776,1.17E-05,1.17E-05,*
TBXAS1,1531,16.35,16.4,14.58,12.18,10.62,10.46,0.627327239,9.84E-06,9.84E-06,*
GAA,3328,6.54,8.23,6.99,5.48,5.06,5.07,0.609427457,9.74E-06,9.74E-06,*
TRIM47,2184,4.31,4.51,4.52,2.38,2.15,2.3,1.058859314,9.71E-06,9.71E-06,Up
IFT140,4829,4.04,4.38,4.98,3.44,2.44,2.78,0.685771381,9.36E-06,9.36E-06,*
ECH1-2,1200,25.24,27.29,26.32,19.88,18.58,16.01,0.598706334,8.71E-06,8.71E-06,*
NEDD4L,8425,2.76,2.6,2.72,1.58,1.97,1.89,0.632853678,8.51E-06,8.51E-06,*
ALS2CL,4777,1.67,2.3,2.11,0.9,1.19,1.13,1.006078087,7.89E-06,7.89E-06,Up
SEMA4G,4367,2.14,2.21,2.12,1.18,1.16,1.33,0.947935341,7.63E-06,7.63E-06,*
SOCS1,1238,5.27,8.06,6.8,2.95,3.31,1.9,1.363880787,7.26E-06,7.26E-06,Up
PSEN2,2286,9.66,11.71,10.24,7.16,6.45,7.63,0.646215101,6.65E-06,6.65E-06,*
LRRK1,15612,1.36,1.26,1.28,0.89,0.75,0.95,0.662889699,6.56E-06,6.56E-06,*
BAIAP2-DT,4421,4.97,5.68,4.62,2.89,3.29,3.73,0.692464798,6.27E-06,6.27E-06,*
RASL11A,2542,2.91,2.89,1.54,1.07,0.86,0.59,1.602235215,6.18E-06,6.18E-06,Up
ECH1,1200,25.41,27.81,26.32,19.88,18.58,16.01,0.612161602,5.67E-06,5.67E-06,*
PALM,2862,3.44,4.18,3.81,2.44,1.63,1.82,1.02651532,5.46E-06,5.46E-06,Up
SLC25A29,2658,7.41,10.05,9.54,5.12,6.91,4.61,0.789103355,5.34E-06,5.34E-06,*
TGFB2,5866,3.82,2.67,3.32,1.91,1.79,2.23,0.794331218,5.06E-06,5.06E-06,*
NPAS2,3734,7.13,6.82,7.26,4.1,5.06,4.95,0.617452953,4.95E-06,4.95E-06,*
APOBEC3G,1655,3.49,4.29,2.85,0.88,1.23,1.46,1.557211195,4.76E-06,4.76E-06,Up
LRRC2,4890,2.54,2.33,2.72,1.46,1.56,1.4,0.848512052,4.70E-06,4.70E-06,*
SREBF1,4058,7.85,9.7,9.96,6.22,5.54,7.18,0.59228177,4.69E-06,4.69E-06,*
GAA-2,3410,6.68,7.69,6.99,5.06,5.06,4.89,0.603878096,4.52E-06,4.52E-06,*
ACKR3,1955,1.69,1.12,0.87,0.25,0.26,0.09,2.728798054,4.35E-06,4.35E-06,Up
PPP1R12B,6628,3.41,2.76,2.47,1.94,2.14,2.11,0.74429542,4.34E-06,4.34E-06,*
CLEC3B,816,7.17,5.85,8.04,2.09,1.56,2.81,1.774800665,4.20E-06,4.20E-06,Up
PUF60-2,1983,0.12,1.4,0.27,0,0,0,7.061214915,4.12E-06,4.12E-06,Up
ASIC1,3888,2.84,2.29,2.68,1.49,1.4,1.18,1.022153037,4.09E-06,4.09E-06,Up
SLC39A11,2554,11.18,9.22,11.28,6.52,8.24,7.1,0.631487681,3.94E-06,3.94E-06,*
DBNDD1,1967,9.42,10.99,10.14,6.8,6.92,6.4,0.691700629,3.67E-06,3.67E-06,*
RAB29,3210,8.93,7.47,7.78,5.29,5.96,4.46,0.685876089,3.51E-06,3.51E-06,*
TRIB3,2211,11.53,12.78,13.33,7.69,9.41,8.32,0.637819405,3.37E-06,3.37E-06,*
BLTP3A,9567,1.54,1.1,1.14,0.59,0.76,0.65,0.983847941,3.30E-06,3.30E-06,*
CC2D1A,3317,3.96,4.41,4.38,2.66,2.58,2.88,0.77358907,3.19E-06,3.19E-06,*
CC2D1A-2,3317,3.96,4.41,4.38,2.66,2.58,2.88,0.77358907,3.19E-06,3.19E-06,*
F10,1529,10.98,11.39,10.59,6.62,7.06,6.34,0.784609321,3.17E-06,3.17E-06,*
MTSS1,4867,2.49,2.59,2.08,1.09,1.17,1.54,0.996058079,3.10E-06,3.10E-06,*
SORL1,10863,1.59,1.27,1.34,0.78,0.92,0.8,0.812839065,2.81E-06,2.81E-06,*
CCN4,5051,0.72,0.64,0.73,0.13,0.26,0.15,2.017320305,2.74E-06,2.74E-06,Up
SLC45A1,2479,2.15,2.69,2.37,1.03,0.86,0.82,1.422678023,2.55E-06,2.55E-06,Up
BBS1,3364,4.69,4.34,4.48,2.83,2.63,2.8,0.778836366,2.50E-06,2.50E-06,*
PARP12,3021,8.65,8.97,9.9,6.51,7.22,5.71,0.610073718,2.46E-06,2.46E-06,*
MAP3K14,4390,3.09,4.07,3.55,1.35,2.14,2.06,0.985567699,1.73E-06,1.73E-06,*
PIEZO2,10481,0.81,0.43,0.55,0.12,0.23,0.15,1.676086138,1.71E-06,1.71E-06,Up
ADAMTS9,7624,0.62,0.32,0.43,0.12,0.12,0.12,2.037593541,1.68E-06,1.68E-06,Up
RAMP1,823,31.28,35.47,27.9,21.1,18.01,17.09,0.816374747,1.66E-06,1.66E-06,*
RAB7B,2710,7.68,8.55,7.75,5.08,4.67,4.94,0.704585564,1.34E-06,1.34E-06,*
SERPINF1,1435,15.76,17.5,15.6,11.45,9.35,9.81,0.740219123,1.33E-06,1.33E-06,*
TPD52L1,2239,1.47,1.41,1.92,0.36,0.55,0.29,2.118951161,1.32E-06,1.32E-06,Up
ADGRG1,4370,2.02,2.06,2.43,1.23,1.06,0.83,1.131584113,1.27E-06,1.27E-06,Up
NUAK2,3367,6.28,6.24,6.91,4.47,4.4,4.19,0.677021039,1.22E-06,1.22E-06,*
GLIS3,7065,3.44,3.3,2.99,2,2.17,2.12,0.659392492,1.11E-06,1.11E-06,*
PRKAR1B,1974,9.45,10.45,8.93,6.06,6.33,7.39,0.7193981,1.08E-06,1.08E-06,*
SELENBP1,1653,14.52,16.45,17.1,9.29,12.27,8.93,0.733280845,1.02E-06,1.02E-06,*
KCNJ2,5391,0.64,0.73,0.71,0.15,0.2,0.24,1.884657659,1.01E-06,1.01E-06,Up
MUC1,1488,6.45,4.46,5.51,2.36,3.27,2.69,1.219435444,9.25E-07,9.25E-07,Up
NACAD,4836,3.06,4.27,3.91,2.12,2.1,2.32,0.848924939,9.17E-07,9.17E-07,*
DPF3,4867,4.21,3.68,3.79,2.9,2.49,2.6,0.694689042,8.52E-07,8.52E-07,*
PSMB9,1017,4.1,3.56,4.14,1.12,0.42,0.86,2.37122138,6.69E-07,6.69E-07,Up
PSMB9-4,1017,4.1,3.56,4.14,1.12,0.42,0.86,2.37122138,6.69E-07,6.69E-07,Up
PSMB9-5,1017,4.1,3.56,4.14,1.12,0.42,0.86,2.37122138,6.69E-07,6.69E-07,Up
PSMB9-7,1017,4.1,3.56,4.14,1.12,0.42,0.86,2.37122138,6.69E-07,6.69E-07,Up
PTCH1,7880,2.32,2.12,2.41,1.57,1.64,1.39,0.758217091,6.32E-07,6.32E-07,*
IL6R,5627,2.67,3.05,2.17,1.02,1.43,1.33,1.005530624,5.74E-07,5.74E-07,Up
FAM124A,3429,0.55,0.68,0.56,0.07,0.27,0.12,2.646767616,5.30E-07,5.30E-07,Up
FHL3,1645,17.22,20.91,20.25,13.48,12.87,12.19,0.660558448,5.01E-07,5.01E-07,*
