GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Up/Down-Regulation
LDHD,2041,0.15,0.12,0.16,0,0.02,0,4.023281545,0.030001926,0.030001926,Up
CPNE5,2103,0.26,0.15,0.32,0,0.09,0,3.585004654,0.029731235,0.029731235,Up
ROPN1L,1255,0.64,0.54,0.52,0.08,0.05,0.15,2.589483351,0.029607313,0.029607313,Up
PCAT6,705,2.3,2.31,4.18,1.12,0.91,1.65,1.35388916,0.029530552,0.029530552,Up
RHOF,2435,2.48,1.8,1.96,0.79,1.9,1.11,0.775547447,0.029359758,0.029359758,*
DENND6B,4891,1.61,0.81,0.57,0.39,0.34,0.25,1.011075521,0.029286488,0.029286488,Up
FNDC1,6479,0.09,0.13,0.12,0.02,0.02,0.05,1.935005033,0.028960159,0.028960159,Up
CASTOR1,1501,2.77,4.18,3.09,2.45,2.02,2,0.698689348,0.028068133,0.028068133,*
SARDH,3084,0.93,0.67,0.86,0.23,0.4,0.42,1.015099388,0.027768794,0.027768794,Up
BMPR1B,4135,1.19,0.95,1.19,0.98,0.43,1.11,0.668629716,0.027764618,0.027764618,*
PLPPR3,2306,1.29,1.71,1.69,0.95,1.13,0.77,0.788698232,0.027061857,0.027061857,*
GOLGA8O-2,4494,0.07,0.08,0.04,0,0,0,4.719398207,0.026988649,0.026988649,Up
HHLA3,879,3.65,5.23,7.5,3.34,2.9,2.99,0.875714547,0.026846809,0.026846809,*
SLC4A11,2932,0.67,1.08,1.5,0.59,0.74,0.52,0.908740737,0.026841824,0.026841824,*
ITGB8-AS1,816,0.42,0.4,0.82,0.08,0,0.09,3.516631555,0.026772356,0.026772356,Up
EHMT2-4,3889,1.03,3.34,2.07,1.42,1.56,1.09,0.739010527,0.026762043,0.026762043,*
TNFRSF14-2,1692,2.31,2.03,2.13,1.77,1.32,0.99,0.806716998,0.026757637,0.026757637,*
CLYBL,1182,0.31,0.41,0.48,0,0,0.11,3.558450185,0.026414737,0.026414737,Up
BOLA2B,368,28.12,18.06,23.41,7.04,21.82,10.1,1.212804005,0.026319456,0.026319456,Up
NPIPB6,4561,0.36,0.42,0.28,0.11,0.17,0.14,1.319251914,0.026003831,0.026003831,Up
DHX58,2206,0.8,0.95,0.97,0.68,0.39,0.69,0.966747882,0.025684818,0.025684818,*
SBSN,1100,2.67,2.78,2.23,1.44,1.61,1.41,0.892092028,0.025681576,0.025681576,*
ATP6V1G2-DDX39B-2,1201,0,0,1.04,0,0,0,5.2920795,0.025394565,0.025394565,Up
