"GeneID","Con_1","Con_2","Con_3","DMEM_1","DMEM_2","DMEM_3","I6_1","I6_2","I6_3","R2_1","R2_2","R2_3","logFC","Pvalue","FDR"
"TOM1L1",7.34,7.57,7.5,10.26,10.12,10.26,9.86,9.79,9.86,8.71,7.04,7.7,-0.459402728,0.000851611,0.000851611
"IGFBP4",1033.54,1033.54,1033.54,800.68,807.51,789.58,744.16,744.16,743.02,841.83,880.48,859.33,0.40216259,8.98e-06,8.98e-06
"TJP1-2",2.47,2.6,2.47,4.08,3.8,3.37,4.55,5.97,5.47,3.12,2.8,2.62,-0.610251938,0.00014789,0.00014789
"ARHGAP11A-SCG5",0.46,0.46,0.63,0.49,0.58,0.41,0.26,0.18,0.1,0.61,0.61,0.61,-0.187189039,0.784204002,0.784204002
"SEMA3D",0.32,0.44,0.44,0.97,0.61,1.37,0.78,0.82,0.89,0.74,0.74,0.74,-0.578508148,0.125649108,0.125649108
"OR10AD1",0,0,0,0,0,0,0,0,0,0,0,0,1.13719805,0.780480655,0.780480655
"TOX4",19.32,19.32,18.92,18.46,17.68,19.48,19.45,19.45,19.27,20.53,20.53,20.44,0.159293271,0.07702013,0.07702013
"MMP25",0.1,0.11,0.1,0,0,0,0.1,0.2,0.16,0.09,0.09,0.09,4.796272484,0.023873086,0.023873086
"FOSL2",39.51,39.87,39.51,42.09,40.98,42.94,48.92,46.78,45.56,46.85,47.04,46.85,-0.015881027,0.775234973,0.775234973
"NANOGP8",0,0,0,0,0,0,0,0,0,0,0,0,3.691311071,0.349902987,0.349902987
"ZNF704",0.56,0.61,0.61,1.1,1.1,1.14,0.97,0.87,0.81,0.78,0.77,0.78,-0.533658648,0.023414893,0.023414893
"SLC22A1",0.13,0.13,0.11,0.15,0.14,0.15,0.1,0.11,0.1,0.09,0.22,0.09,-0.01638849,0.987247908,0.987247908
"RAB8B",5.97,6.67,4.87,8.81,8.81,9.02,7.73,7.38,7.89,5.92,5.18,5.92,-0.482573497,0.000322148,0.000322148
"SLC7A4",0.03,0.02,0.03,0.09,0.09,0.11,0.11,0.11,0.11,0.02,0.02,0.02,-0.627146744,0.7215859,0.7215859
"RAB3D",3.82,3.86,3.86,3.64,4.11,3.85,3.69,3.66,3.69,3.96,4.03,3.92,0.08608822,0.532727084,0.532727084
"DHCR7",44.36,40.18,47.67,42.53,40.24,44.89,40.54,41.61,41.19,40.04,40.82,39.64,0.134927416,0.217506922,0.217506922
"CDK20",0.96,1,1,1.06,0.9,1.17,1.04,0.76,0.88,1.17,1.04,1.09,0.109386205,0.771188605,0.771188605
"STAT6",49.38,48.88,48.88,44.42,43.08,46.05,44.99,44.74,45.42,48.58,47.46,49.82,0.204706072,0.007015691,0.007015691
"NOC3L",6.2,6.45,6.45,8.45,8.03,9.32,7.82,7.74,7.82,8.38,5.71,6.91,-0.153061043,0.2654339,0.2654339
"GREB1L",0.89,0.89,0.79,1.2,1.13,1.29,1.16,1.22,1.22,1.31,1.31,1.35,-0.377698062,0.082237345,0.082237345
"SNHG19",51.93,45.3,61.07,38.01,38.15,38.15,39.1,31.25,23.96,49.29,49.29,49.29,0.685709884,0.024466926,0.024466926
"CISD3-2",16.27,12.97,15.1,9.73,9.57,9.44,9.43,10.07,10.43,10.47,12.34,11.49,0.711684995,1.7e-06,1.7e-06
"EPB42",0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,1.13719805,0.780480655,0.780480655
"NDST2",10.24,10.24,9.84,8.65,8.66,8.66,9.63,9.79,9.63,8.76,8.76,8.76,0.391475965,0.022445135,0.022445135
"FMC1-LUC7L2",2.04,2.04,1.72,4.09,5.57,2.59,1.56,1.82,1.82,7.28,9.31,7.28,-0.390914529,0.379499096,0.379499096
"DUSP8-2",0.34,0.17,0.23,0.18,0.25,0.11,0.24,0.24,0.27,0.19,0.19,0.19,0.543311114,0.383050657,0.383050657
"CLCN3",5.21,5.27,5.27,8.87,8.87,8.98,8.75,8.68,8.68,6.3,6.14,6.37,-0.538452837,2.71e-07,2.71e-07
"FAM53A",2.42,2.42,2.52,2.36,2.27,2.14,2.08,1.93,1.86,1.53,2.28,1.85,0.213174143,0.349532887,0.349532887
"EPB41L4B",8.27,8.27,7.89,13.11,12.61,13.58,14.41,14.56,14.56,11.74,11.54,11.74,-0.520344265,1.75e-07,1.75e-07
"ARHGAP33",3.78,2.52,3.08,2.52,2.59,2.52,2.58,2.58,2.55,2.65,2.65,2.65,0.482157195,0.022024173,0.022024173
"URI1",9.19,11.32,10.14,14.71,14.58,14.71,15.23,15.23,15.23,13.02,9.47,10.8,-0.423485504,1.42e-05,1.42e-05
"CBFA2T3",0,0,0,0,0,0,0,0,0,0,0,0,2.888729499,0.46794297,0.46794297
"RAB13",53.8,51.38,55.22,56.04,55.95,56.04,56.69,56.43,56.43,56.33,56.33,56.33,0.00839674,0.930851293,0.930851293
"ZNF212",8.05,7.58,7.01,8.46,8.34,8.34,8.61,8.57,8.61,9.17,9.1,9.1,-0.032494303,0.802899084,0.802899084
"METAP1",16.94,19.15,15.5,21.61,21.13,21.45,22.16,23.16,23.61,18.04,16.91,18.04,-0.239399399,0.010556281,0.010556281
"EBI3",1.32,1.33,1.32,0.9,0.9,0.9,0.68,0.7,0.7,1.22,1.3,1.22,0.717575525,0.162566571,0.162566571
"SMN1",0.12,0.13,0.13,0.2,0.23,0.2,0.21,0.21,0.21,0.12,0.12,0.12,0.879347806,0.545960642,0.545960642
"GNL1-4",1.82,1.4,2.24,1.76,1.76,1.76,2.49,2.49,2.49,2.88,2.45,2.74,0.280761959,0.297687686,0.297687686
"ABTB1",11.66,10.24,13.16,9.28,9.28,9.2,8.87,8.87,8.92,7.32,8.72,8.27,0.35882766,0.038030613,0.038030613
"LIPT1",2.48,2.75,2.48,1.42,1.42,1.3,1.41,1.08,1.27,2.53,2.64,2.53,0.489308223,0.238047366,0.238047366
"EIF3A",34.24,36.59,36.59,60.61,56.15,63.83,55.89,57.11,57.97,52.86,41.44,47.78,-0.567574272,3.5e-10,3.5e-10
"TMEM253",1.02,1.26,1.02,1.98,1.04,2.56,0.56,0.56,0.54,0.62,0.62,0.6,-0.739566876,0.27375208,0.27375208
"IGF2",0.28,0.21,0.25,0.24,0.25,0.27,0.24,0.24,0.24,0.16,0.19,0.19,0.074221263,0.879290377,0.879290377
"MRPL19",5.08,5.09,5.09,6.24,6.09,6.51,6.87,6.87,6.84,5.94,4.77,5.29,-0.205153411,0.018041772,0.018041772
"ABCC11",0.02,0.02,0.02,0.03,0.05,0.03,0.03,0.03,0.03,0.07,0.03,0.03,1.075226933,0.529787391,0.529787391
"PSME3",135.73,134.03,135.73,132.97,136.48,129.55,141.69,141.69,141.56,147.58,150.5,148.73,0.142957655,0.056259819,0.056259819
"PRSS36",0.22,0.09,0.17,0.12,0.12,0.11,0.06,0.1,0.08,0.08,0.16,0.16,0.344671207,0.709208788,0.709208788
"PCDHB3-2",0.01,0.01,0.01,0.01,0.02,0.01,0.09,0.04,0.04,0.02,0.02,0.02,1.515400145,0.7050616,0.7050616
"RNF157",0.03,0.04,0.02,0.03,0.03,0.03,0,0,0,0.01,0.01,0.01,-0.728487728,0.574720281,0.574720281
"TRIM28",240.68,240.68,240.68,201.91,201.91,202.78,207.46,212.45,214.65,204.86,220.78,213.32,0.274745067,0.006142617,0.006142617
"CYB5A",6.81,7.28,6.15,7.1,7.01,7.01,5.97,5.94,5.97,5.81,7.73,6.77,0.040112432,0.741206305,0.741206305
"ASAP1-IT1",0,0,0,0,0,0,0,0,0,0,0,0,3.883124512,0.324794811,0.324794811
"SYT1",0.62,0.64,0.64,1.34,1.19,1.42,1.03,1.08,1.08,1.06,0.7,0.83,-0.456951232,0.204603752,0.204603752
"TNFSF8",0,0,0,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,-0.684582037,0.851377671,0.851377671
"MRPL50",8.22,7.25,8.76,7.01,7.07,7.07,7.64,6.86,6.12,6.36,6.27,6.23,0.264555285,0.066110312,0.066110312
"STRN3",3.79,3.79,3.54,6.62,5.56,7.92,6.47,6.23,6.37,6.4,4.52,5.33,-0.595455416,0.004242217,0.004242217
"MFSD1",23.75,23.75,24.12,27.21,25.32,30.11,29.36,28.49,26.74,26.95,23.94,25.39,-0.199564424,0.089090802,0.089090802
"ZNF670-ZNF695",0.12,0.11,0.12,0.06,0.12,0.06,0,0,0,0.29,0.73,0.52,1.381974873,0.447359131,0.447359131
"PCBP2",191.08,186.37,186.37,182.5,189.03,178.42,185.5,186.34,185.5,190.89,198.77,193.48,0.07838151,0.35138483,0.35138483
"EFEMP1",36.97,36.97,36.65,52.7,51.78,53.67,43.99,43.99,43.82,44.32,43.54,43.54,-0.427228293,3.34e-11,3.34e-11
"KCNK12",0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.516609743,0.820004772,0.820004772
"IRX2-DT",0.05,0.04,0.04,0.02,0.01,0.04,0.02,0.01,0.01,0,0,0,0.258796795,0.879062807,0.879062807
"APBA1-2",0.03,0.03,0.03,0.06,0.06,0.06,0.05,0.03,0.04,0.07,0.08,0.07,-0.779805481,0.556430199,0.556430199
"SFTPA2",0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0.02,0.02,0.02,1.264843519,0.619038408,0.619038408
"SMCR5",0,0,0,0,0,0,0,0,0,0,0,0,4.34093642,0.269793758,0.269793758
"BRPF1",9.82,10.03,10.03,11.42,11.42,11.51,12.68,12.48,12.11,11.19,10.69,10.98,-0.029487148,0.78170727,0.78170727
"SNHG32-4",59.51,58.98,58.98,48.82,49.18,49.18,51.98,47.99,44.83,59.81,58,59.81,0.336695717,0.003501695,0.003501695
"MISP3",0.35,0.35,0.37,0.31,0.23,0.35,0.25,0.25,0.27,0.21,0.21,0.21,0.255235997,0.748364665,0.748364665
"SLC35F1",0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,2.157468615,0.592168601,0.592168601
"GOLGA6L10",0,0,0,0,0,0,0.04,0.03,0.03,0,0,0,-4.064174763,0.301347985,0.301347985
"TLE3",10.56,10.83,11.16,10.81,10.91,10.63,11.09,11,11.09,10.72,12.85,11.7,0.070399126,0.390493159,0.390493159
"TMEM74",0.1,0.1,0.1,0.16,0.16,0.16,0.08,0.1,0.09,0.27,0.09,0.19,-0.416330313,0.531909834,0.531909834
"KLC1",44.6,48.66,46.73,59.63,59.63,59.52,56.5,55.78,57.17,55.2,55.2,55.2,-0.210558021,0.000590024,0.000590024
"RLN2",0.54,1.31,0.54,0.41,0.31,0.41,0.44,0.3,0.15,0.1,0.2,0.2,0.419555268,0.749007008,0.749007008
"IL12RB1",0.32,0.44,0.36,0.23,0.23,0.25,0.31,0.22,0.09,0.27,0.27,0.3,1.037060361,0.189046352,0.189046352
"NPAS4",0,0,0,0,0,0,0.04,0.02,0.01,0,0,0,1.13719805,0.780480655,0.780480655
"NF1-2",0.85,0.94,0.94,1.81,1.63,1.92,1.64,1.66,1.66,1.24,0.9,1.1,-0.458344934,0.099202339,0.099202339
"TXNDC2",0.1,0.1,0.11,0.09,0.15,0.09,0.16,0.17,0.16,0.09,0.05,0.11,0.153869717,0.895288536,0.895288536
"SWI5",40.47,36.64,33.08,31.88,33.49,30.76,25.23,26.14,28.08,31.65,38.3,34.45,0.317426256,0.039443585,0.039443585
"IRF9",5.66,5.82,5.53,4.64,4.57,4.57,3.73,3.73,3.63,5.08,5.08,5.33,0.446327277,0.022866281,0.022866281
"ANGPTL3",0,0,0,0,0,0,0,0,0,0,0,0,1.898634129,0.639269758,0.639269758
"ZNF470",0.78,0.78,0.58,1.39,1.24,1.68,1.34,1.43,1.43,1,0.94,1,-0.466148607,0.193846885,0.193846885
"IGSF11",0,0,0,0.01,0.01,0.01,0.015,0.015,0.015,0.02,0.02,0.02,-3.036782296,0.323717781,0.323717781
"SYNGR1",2.61,2.52,2.52,1.66,1.66,1.66,1.14,0.99,0.69,1.38,2.03,1.59,0.633581446,0.126972892,0.126972892
"ZSCAN2-2",0.81,0.38,1.02,0.85,0.85,0.94,0.58,0.63,0.63,0.76,0.64,0.69,0.528528392,0.544169456,0.544169456
"KRT13",0,0,0,0,0,0,0.03,0.03,0.03,0,0,0,-1.613322879,0.689947292,0.689947292
"ERICH2",2.03,1.83,2.03,1.06,1.13,0.94,2.37,2.37,2.37,1.51,1.51,1.51,0.995069654,0.011710107,0.011710107
"LSP1-2",0.07,0.08,0.08,0.05,0.04,0.06,0.04,0.04,0.04,0.19,0.15,0.09,1.012104961,0.520721196,0.520721196
"KREMEN2",0.41,0.41,0.41,0.11,0.13,0.13,0.19,0.34,0.44,0.26,0.31,0.23,1.319498344,0.131131172,0.131131172
"MX1",11.87,11.89,11.89,13.71,13.71,13.91,11.02,11.15,11.41,12.93,12.99,12.9,-0.088024368,0.427918296,0.427918296
"DDR2",0.06,0.06,0.06,0.09,0.08,0.11,0.12,0.12,0.12,0.1,0.11,0.11,-0.202760378,0.749857858,0.749857858
"PWWP2B",11.81,10.46,12.41,7.72,7.71,7.71,8.17,7.92,8.33,8.25,8.3,8.25,0.648258262,3.6e-05,3.6e-05
"TSR3",75.69,57.56,68.57,50.06,51.43,50.7,49.4,49.4,49.4,53.21,53.21,54.1,0.502490028,0.000358439,0.000358439
"NSMCE1",31.29,29.15,33.23,26.37,24.77,27.06,25.96,25.96,27.94,29.42,32.09,30.34,0.369609556,0.006541076,0.006541076
"GOLGA8R-2",0,0,0,0,0,0,0,0,0,0.03,0.07,0.03,1.13719805,0.780480655,0.780480655
"RPS6",1000.07,985.43,1000.07,1030.53,1031.72,1031.72,1022.27,1022.27,1015.24,1090.34,1047.06,1068.83,0.020182502,0.746296778,0.746296778
"PSEN1",9.66,10.57,10.1,13.22,13.22,13.35,12.38,12.67,12.96,11.88,12.09,11.88,-0.298481286,2.96e-05,2.96e-05
"FAM161A",0.76,0.88,0.88,1.97,2.02,1.88,1.71,1.59,1.52,1.43,1.02,1.19,-0.612664236,0.057468849,0.057468849
"WDFY1",4.87,4.87,4.66,8.91,8.91,8.91,8.87,8.87,9.04,6.38,6.2,6.2,-0.57762123,0.00031968,0.00031968
"HSPA1A-5",15.12,15.52,15.52,13.19,13.48,13.48,12.42,12.42,12.42,15.62,15.62,15.49,0.294289802,0.012703235,0.012703235
"OAS1",6.71,6.64,6.71,6.34,6.23,6.23,7.59,6.47,5.53,7,7.08,7.08,0.303207455,0.112977078,0.112977078
"TCF19",22.26,22.26,22.53,23.06,21.23,24.58,22.97,22.34,23.37,21.07,21.11,21.11,0.011294153,0.905073156,0.905073156
"RAB32",90.88,90.88,94.59,79.13,87.56,74.29,71.6,72.26,73.73,81.79,81.79,81.79,0.22403599,0.086293888,0.086293888
"OR10V1",0,0,0,0,0,0,0,0,0,0,0,0,-0.786355302,0.847184675,0.847184675
"SPECC1L",9.15,9.95,8.78,12.68,12.41,13.07,12,12.15,12.44,10.45,10.61,10.61,-0.383347472,1.97e-06,1.97e-06
"LAMB2",40.39,40.39,40.39,39.58,38.86,40.72,41.06,41.06,41.06,39.01,38.71,39.01,0.047979037,0.626684787,0.626684787
"FOXRED1",34.53,30.55,31.92,22.66,22.66,22.1,26.13,26.08,26.13,29.92,29.56,29.92,0.57037884,1.16e-06,1.16e-06
"CAV3",0.42,0.42,0.42,0.18,0.09,0.3,0.13,0.13,0.14,0.29,0.26,0.29,0.822464444,0.558664101,0.558664101
"KATNAL1",2.3,2.51,2.51,4.96,4.91,4.96,5.02,5.4,5.24,4.37,3.25,3.88,-0.632945812,0.004042572,0.004042572
"ZC3H15",19.39,20.29,20.29,25.37,25.29,25.37,23.89,23.89,23.71,21.76,18.67,20.07,-0.133986994,0.250433525,0.250433525
"APOL6",4.53,4.9,4.3,6.57,6.57,6.69,6.08,6.07,6.09,5.11,4.92,5.11,-0.412885539,7.05e-07,7.05e-07
"HOXB4",0.33,0.27,0.31,0.24,0.34,0.13,0.13,0.16,0.16,0.06,0.06,0.05,0.46118175,0.553234471,0.553234471
"LY6G5C-4",0.1,0.11,0.1,0.1,0.1,0.12,0.1,0.1,0.13,0.12,0.06,0.09,-0.085866621,0.956771259,0.956771259
"ZNF518B",1.11,1.11,1.11,2.05,2,2.05,1.83,2.15,2.39,1.76,1.06,1.4,-0.541534809,0.01977751,0.01977751
"NARS2",6.35,5.52,4.72,8.33,8.33,8.33,7.97,7.95,7.97,6.91,6.92,6.89,-0.380678634,0.017448052,0.017448052
"ZBTB38",5.63,6.01,6.01,11.68,10.64,12.67,11.86,11.86,11.87,10.04,7.02,8.69,-0.664549,7.24e-05,7.24e-05
"RPS3A",1079.25,1042.47,1042.47,740.89,763.14,728.13,746.84,738.45,742.18,763.56,761.93,763.56,0.553026208,1.19e-09,1.19e-09
"ATP8",47520.22,49884.57,49884.57,69174.5,66444.58,71392.85,60153.67,61528.41,60964.06,72589.95,83295.24,78407.8,0.143280627,0.272917602,0.272917602
"MTMR12",8.47,10.89,9.9,13.17,14.08,12.52,13.32,13.66,13.88,13.15,12.46,13.58,-0.380507098,0.000316251,0.000316251
"FAM27B",14.28,11.6,13.02,9.81,9.68,9.68,12.63,12.63,13.24,15.39,15.09,15.09,0.565360187,0.027217072,0.027217072
"FOXJ2",7.24,6.89,7.04,7.28,7.28,7.39,8.65,8.39,7.99,8.67,8.09,8.47,0.033199253,0.737053608,0.737053608
"ECI2-DT",0.1,0.3,0.16,0.15,0.15,0.17,0.41,0.19,0.19,0.05,0.07,0.05,0.499160312,0.59448682,0.59448682
"CSNK2B",48.11,48.11,48.11,41.63,42.79,41.63,41.96,40.24,40.24,40.84,41.47,40.84,0.262401191,0.066809624,0.066809624
"ITGBL1",1.08,1.59,0.82,1.68,1.97,1.77,1.72,1.85,1.45,1.69,2,1.79,-0.563364084,0.102066596,0.102066596
"WDFY3",2.84,3.03,3.03,5.39,4.89,5.83,5.68,5.68,5.67,4.89,3.78,4.2,-0.60614428,1.84e-05,1.84e-05
"DCAF10",6.09,6.09,5.86,9.21,9.21,8.53,9.29,10.31,10.86,8.73,8.1,8.1,-0.510993315,0.000480474,0.000480474
"CNOT3-6",0.62,0.54,0.62,0.02,0.02,0.02,0.12,0.12,0.12,0.36,0.24,0.24,2.208142117,0.077095893,0.077095893
"CDK7-2",12.74,12.64,12.64,15.79,15.46,15.64,13.01,12.84,13.19,14.28,11.31,12.4,-0.237130863,0.0897723,0.0897723
"RPL36A",7.89,8.93,8.31,7.69,7.69,7.85,5.78,5.78,5.3,5.49,3.2,3.96,0.273471327,0.29891494,0.29891494
"PARK7",216.13,219.3,219.3,214.74,222.91,202.92,215.38,211.1,204.99,249.52,251.52,252.71,0.16385399,0.040097147,0.040097147
"PRSS22-2",0.57,0.17,0.39,0.3,0.45,0.3,0.46,0.34,0.53,0.37,0.37,0.34,0.499018544,0.609050325,0.609050325
"HECTD2",1.03,2.45,1.47,2.44,2.55,2.34,1.65,1.87,2.21,1.82,1.98,1.98,-0.524861086,0.129273301,0.129273301
"ASRGL1",2.38,2.28,2.28,2.34,2.58,2.5,1.82,2.39,2.69,3.17,2.45,2.68,0.031761092,0.905555729,0.905555729
"CHCHD10",44.06,36.29,31.31,25.78,25.66,25.89,30.84,29.67,28.44,22.58,25.11,23.41,0.65132663,0.000737681,0.000737681
"MAP4K4",21.17,25.53,22.76,33.05,31.71,34.07,33.48,33.72,33.26,30.52,27.51,28.77,-0.428817774,8.56e-11,8.56e-11
"ZNF639",5.15,5.59,4.67,6.55,6.13,7.05,7.22,6.84,6.96,6.41,5.77,6.08,-0.280536676,0.012621461,0.012621461
"CREB5",0.29,1.11,0.72,0.69,0.69,0.78,0.69,0.73,0.82,0.49,0.49,0.42,-0.357839155,0.439404667,0.439404667
"CNOT3-7",0.75,0.41,0.75,0.56,0.67,0.56,0.69,0.52,0.52,1.96,2.28,1.96,1.655693362,0.019826161,0.019826161
"ATF1",9.51,10.93,10.22,10.78,9.18,11.75,10.7,11.59,12.5,11.61,8.96,9.83,0.05662805,0.686655807,0.686655807
"CLDN2",0.54,0.53,0.54,0.57,0.57,0.49,0.54,0.54,0.62,0.52,0.52,0.52,0.345051987,0.501372852,0.501372852
"TP53TG5",0.18,0.18,0.12,0.31,0.31,0.31,0.05,0.05,0.05,0.24,0.16,0.16,-0.305896914,0.704173344,0.704173344
"ITGA8",0,0,0,0,0,0,0,0,0,0,0,0,1.13719805,0.780480655,0.780480655
"MCM5",57.73,57.73,60.46,47,47.84,49.54,48.61,49.83,51.01,49.77,50.35,50.35,0.279507745,0.004061142,0.004061142
"ARHGEF4",2.2,1.77,1.97,1.73,1.81,1.73,1.87,2.08,2.46,1.54,2.15,1.93,0.171888313,0.305827498,0.305827498
"ZNF385A",7.77,7.77,8.16,4.93,5.47,5.18,5.64,5.65,5.65,5.04,6.53,5.69,0.550455643,0.012695763,0.012695763
"PPP2CA",38.11,38.11,37.78,54.46,55.19,53.99,55.66,55.88,55.56,49.15,44.87,47.36,-0.381542174,2.92e-12,2.92e-12
"SLC39A1",191.03,191.03,195.49,143.67,146.25,144.76,149.74,148.58,148.58,155.03,162.97,159.19,0.441090233,2.22e-06,2.22e-06
"KRBA1",3.23,2.43,3.95,2.59,2.59,2.31,1.85,1.83,1.85,1.99,2.08,2.08,0.515252322,0.01374759,0.01374759
"OR5AS1",0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.612838649,0.479312583,0.479312583
"ARMC6",72.91,64.02,68.16,53.82,53.13,53.13,56.02,56.02,56.64,54.59,55.08,55.08,0.46475963,1.25e-06,1.25e-06
"CELF3",0,0,0,0,0,0,0,0,0,0,0,0,2.888729499,0.46794297,0.46794297
"SLC9A3-OT1",5.75,5.6,6.06,4.8,4.28,5.44,5.96,5.69,5.25,6,6.88,6.43,0.321746679,0.112139152,0.112139152
"CRYBG2",0.17,0.18,0.17,0.12,0.2,0.06,0.12,0.12,0.12,0.16,0.19,0.16,0.402089398,0.560977312,0.560977312
"SAMD10",10.12,8.45,9.23,8.7,9.42,7.78,7.68,7.94,8.2,7.89,8.23,8.23,0.184015449,0.253393753,0.253393753
"RAB27A",4.37,4.37,4.34,6.99,7,7,6.54,5.94,6.85,5.55,4.69,5.03,-0.519333961,0.000149411,0.000149411
"CADM4",1.89,1.87,1.89,1.81,1.83,1.83,1.63,1.45,1.21,1.59,2.07,1.87,0.117114853,0.672614075,0.672614075
"EXOC6B",2.6,2.79,2.38,3.92,3.76,3.67,3.02,3.72,4.64,2.92,2.85,2.92,-0.474170058,0.000254037,0.000254037
"DOP1A",0.43,0.51,0.51,1.14,1.14,1.16,1.06,1,1.04,0.99,0.4,0.74,-0.667947357,0.042444765,0.042444765
"HSFX3",0,0,0,0.05,0.05,0.05,0.025,0.025,0.025,0.025,0.025,0.025,-2.741738266,0.489831129,0.489831129
"CSNK2B-5",76.24,62.73,84.45,55.81,58.33,58.33,71.71,68.4,75.53,75.05,60.42,65.66,0.404715599,0.010458316,0.010458316
"KDM6B",2.1,1.83,1.94,1.79,1.82,1.82,2.16,2.16,2.19,2.07,2.13,2.07,0.16491435,0.325351004,0.325351004
"CRY1",9.91,10.75,10.75,17.96,17.84,17.96,15.99,15.99,15.91,14.67,14.47,14.94,-0.493853644,0.000304172,0.000304172
"LILRA6-2",0,0,0,0,0,0,0.09,0.12,0.06,0,0,0,1.13719805,0.780480655,0.780480655
"ZNF569",1.05,1.05,1.02,2.16,2.01,2.16,2.46,2.73,2.88,1.84,1.84,1.84,-0.686332556,0.045896375,0.045896375
"SPIN2A",0.21,0.21,0.11,0.56,0.55,0.56,0.11,0.11,0.11,0.22,0.39,0.32,0.836909582,0.380336643,0.380336643
"UQCRC2-2",14.87,14.82,14.87,19.18,19.16,19.16,19.76,20.14,20.61,18.03,15.36,16.55,-0.228156241,0.05461137,0.05461137
"INTS3-2",6.85,7.58,8.94,7.22,7.36,7.62,9.09,8.99,8.99,7.6,7.6,7.58,0.077043845,0.480916418,0.480916418
"ICE1",2.47,2.69,2.69,5.66,5.57,5.7,5.22,5.52,5.85,4.46,3.15,3.83,-0.693960189,0.001552386,0.001552386
"CCDC34",17.04,23.97,20.1,20.97,20.97,20.97,20.84,20.94,20.94,22.51,18.63,19.92,0.07791925,0.580292356,0.580292356
"AP1M2",99.38,99.38,102.33,63.96,70.13,58.75,70.01,70.01,70.01,83.84,99.92,89.6,0.67603577,2.79e-08,2.79e-08
"ATP2A3",0.11,0.12,0.12,0.24,0.1,0.37,0.13,0.12,0.13,0.17,0.09,0.09,-0.392118765,0.584089736,0.584089736
"GPR151",0,0,0,0,0,0,0,0,0,0,0,0,2.477173484,0.536103595,0.536103595
"CAB39L",1.89,1.89,1.88,2.33,2.64,2.19,2.88,2.54,1.92,2.22,1.35,1.89,-0.198957373,0.347290626,0.347290626
"KCNQ3",0.16,0.16,0.17,0.17,0.15,0.19,0.14,0.14,0.15,0.18,0.1,0.14,-0.148607349,0.69757388,0.69757388
"AKIP1",65.74,62.54,60.68,54.35,54.35,53.79,57.63,56.64,56.64,58.47,61.72,60.66,0.286241715,0.001067686,0.001067686
"SIGLEC16",0.04,0.04,0.03,0,0,0,0.04,0.03,0.03,0.01,0.01,0.01,3.48634495,0.084058631,0.084058631
"MYO15B",0.68,0.68,0.68,0.39,0.41,0.39,0.57,0.55,0.57,0.49,0.51,0.49,0.740960001,0.0542998,0.0542998
"DNPH1",70.23,60.03,86.4,47.99,48.29,48.29,47.45,48.35,47.45,49.77,58.49,53,0.677077447,0.000157106,0.000157106
"SEMA6D",0.1,0.16,0.16,0.28,0.27,0.28,0.34,0.3,0.26,0.45,0.24,0.33,-0.436746631,0.44625112,0.44625112
"CPNE8",4.15,4.57,4.57,6.51,7.17,6.19,7.94,7.72,7.72,5.7,3.15,4.62,-0.363683431,0.030211232,0.030211232
"KLK1",0.16,0.16,0.16,0.08,0.17,0.08,0.24,0.24,0.24,0.65,0.23,0.39,0.492050063,0.836699691,0.836699691
"DHRS7B",35.04,34.39,35.04,32.14,32.14,32.14,33.81,30.81,27.84,30.87,34,33.03,0.273688643,0.010131987,0.010131987
"LRRC63",0.04,0.04,0.04,0,0,0,0.02,0.02,0.02,0.04,0.04,0.04,2.621998129,0.453859072,0.453859072
"NAALADL2",0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.02,0.03,0.03,0.03,2.515895925,0.089241759,0.089241759
"ZSCAN2",0.81,1,1.3,1.14,0.7,1.43,0.58,0.63,0.63,1.2,1.03,1.11,0.003756965,0.993475387,0.993475387
"RP9",16.23,16.24,16.24,18.47,19.91,16.63,14.42,15.71,16.62,16.87,16.62,16.87,0.063756001,0.736273907,0.736273907
"FAM223B",0.17,0.17,0.19,0.44,0.29,0.74,0.06,0.06,0.06,0.23,0.23,0.22,-2.461959766,0.159131432,0.159131432
"MAP1LC3B",50.65,50.65,50.65,59.08,60.38,58.35,64.57,63.15,63.15,59.35,59.35,59.31,-0.188866199,0.006342558,0.006342558
"ZNF687",10.97,10.63,10.63,9.22,9.49,8.79,9.48,9.48,9.56,9.31,10.5,9.88,0.26787157,0.014779189,0.014779189
"SOX6",0.08,0.07,0.07,0.11,0.11,0.12,0.08,0.09,0.07,0.07,0.08,0.09,-0.530683946,0.437841626,0.437841626
"PSMB8-5",14.64,14.41,14.41,11.13,11.7,10.84,10.04,10.04,10.04,11.73,12.37,12.05,0.417990591,0.014723357,0.014723357
"SLC10A3",63.3,63.3,64.8,46.15,46.41,46.15,45.44,47.61,49.13,47.68,49.13,47.68,0.507939135,2.11e-07,2.11e-07
"NCKAP5",0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,-2.665693697,0.420798082,0.420798082
