KO_ID,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
GO:0010524,positive regulation of calcium ion transport into cytosol,-0.752562601,-2.333649869,0,0.223087068,0.267,8/35,3.05%,CEMIP;GSTM2;JPH2;P2RY6;P2RX4;P2RX7;DRD1;PLCG1
GO:0000775,"chromosome, centromeric region",0.614516267,2.333053152,0,0,0,65/167,11.72%,CENPW;PDS5B;TOP2A;CDCA8;SKA3;BUB1;CENPF;HJURP;RCC2-2;RCC2;NCAPD2;INCENP;ZWILCH;KIF2C;NEK2;SPDL1;CKAP5;BAZ1B;CDT1;ZWINT;OIP5;NUP160;SPC25-2;MAD2L1;CBX3;CENPI;KIF22;BUB3;NUP107;SGO1;CENPU;CENPO;SKA1;NCAPD3;BUB1B;SMC3;ZW10;PBRM1;SUV39H1;CENPA;SMC4;SEC13;CENPE;PAFAH1B1;APC;SMC1A;NUF2;STAG2;DSCC1;MACROH2A1;TPR;PPP2CA;AURKB;SPAG5;NCAPG;RAD21;KMT5B;PDS5A;TTK;BIRC5;MIS18A;GPATCH11;CENPT;SIN3A;NDC80
GO:0050000,chromosome localization,0.675452678,2.321254717,0,0,0,34/76,13.12%,UBE2B;RRS1;KIFC1;CDCA8;CENPF;INCENP;KIF2C;SPDL1;CDC23;CDT1;CUL3;KIFC1-2;DLGAP5;KIF22;GEM;MLH1;CCNB1;ZW10;CENPE;NUF2;AURKB;FAM83D;SPAG5;VPS4B;TTL;BIRC5;ACTR2;NUDC;RAB11A;NDC80;NUP62;KATNB1;HNRNPU;EML4
GO:0051303,establishment of chromosome localization,0.679342221,2.317204842,0,0,0,34/74,13.12%,UBE2B;RRS1;KIFC1;CDCA8;CENPF;INCENP;KIF2C;SPDL1;CDC23;CDT1;CUL3;KIFC1-2;DLGAP5;KIF22;GEM;MLH1;CCNB1;ZW10;CENPE;NUF2;AURKB;FAM83D;SPAG5;VPS4B;TTL;BIRC5;ACTR2;NUDC;RAB11A;NDC80;NUP62;KATNB1;HNRNPU;EML4
GO:0022626,cytosolic ribosome,0.660269448,2.316302235,0,0,0,56/96,20.66%,RPS6;RPL24;RPS9-8;RPL10A;RPL15;MRPL1;RPL17;RPL30;RPLP0;RPS8;RPL6;RPS21;RPL7A-2;RPL7A;RPSA2;RPL29;RPS13;MRPS11;RPS2;RPS2-2;RPS26;DHX29;RPS24;EIF2A;RPS14;RPL10;RSL24D1;RPL18A;RPL35;RPS12;RPSA;RPL18;RPS27A;RPL14;ZCCHC17;RPL32;RPS9;RPL28;RPLP2;RPL36A;RPL4;RPS15A;RPL5;RPL23;RPS16;LARP4;RPS7;RPS27;RPS10;RPS11;RPL7;MCTS1;MCTS1-2;RPL8;RPS3A;RPS3A-2
GO:0006027,glycosaminoglycan catabolic process,-0.716161903,-2.313509165,0,0.234754433,0.315,13/42,7.68%,CEMIP;HGSNAT;SDC4;SGSH;LUM;SDC3;DCN;HSPG2;ARSB;IDUA;HEXA;GPC4;GPC5
GO:0030212,hyaluronan metabolic process,-0.753620075,-2.307057913,0,0.211458789,0.326,2月27日,0.23%,CEMIP;PIM1
GO:0006958,"complement activation, classical pathway",-0.807914665,-2.304198152,0,0.190128644,0.334,7月23日,3.51%,C1R-2;C1R;C1S;C1RL-2;C1RL;C6;SERPING1
GO:0003735,structural constituent of ribosome,0.602786453,2.303106817,0,0,0,92/176,22.98%,RPS6;RPL24;RPS9-8;RPL10A;RPL34;RPL15;MRPL1;RPL12;RPL26;MRPL3;RPL17;MRPL51;RPL30;RPLP0;RPS8;RPS15;RPL6;MRPS9;RPS21;RPL7A-2;RPL7A;MRPS31;RPL36AL;RPSA2;RPL29;RPS13;MRPS11;RPS2;RPS2-2;RPS26;RPS24;MRPL46;MRPS18C;RPS5;MRPL37;MRPS23;RPS14;RPL26L1;RPL10;MRPL20;RSL24D1;RPL18A;RPL35;RPS12;MRPS2;RPSA;MRPL24;RPL18;MRPL10;RPS27A;RPL14;SRBD1;RPL32;MRPL21;RPS9;RPL28;RPLP2;MRPL54;RPL36A;RPL4;RPS15A;DAP3;RPL5;RPL23;MRPL27;RPS16;MRPS35;MRPS18A;NDUFA7;TBCE-2;RPL22L1;RPS7;RPS27;FAU;RPS4X;RPS10;RPS11;TBCE;RPL7;MRPL28;RPL8;RPS3A;RPS3A-2;MRPL19;MRPL23;MRPS18B;MRPS18B-4;MRPS18B-2;MRPS18B-3;MRPS18B-5;MRPS18B-7;RPL19
GO:0042612,MHC class I protein complex,-0.757700945,-2.302949442,0.002881844,0.169880362,0.334,17/30,13.33%,HLA-E-3;MR1;HLA-A-7;HLA-E-7;HLA-E-6;HLA-E-2;HFE;HLA-DMB-2;HLA-DMB-7;HLA-DMB-5;HLA-DMB-4;HLA-F-4;HLA-F-5;HLA-E-4;HLA-B-2;HLA-B-4;HLA-F-3
GO:0006026,aminoglycan catabolic process,-0.707436007,-2.300892314,0,0.154913432,0.336,14/44,7.68%,CEMIP;HGSNAT;SDC4;SGSH;LUM;SDC3;DCN;HSPG2;ARSB;IDUA;HEXA;GPC4;OVGP1;GPC5
GO:0005905,clathrin-coated pit,-0.661298905,-2.295582969,0,0.146926726,0.349,17/77,6.38%,CEMIP;DAB2;CTTN-2;CTTN;LDLR;FNBP1;LRP1;ARRB1;ACKR3;SORT1;ITSN2;C6orf136-2;C6orf136;C6orf136-6;C6orf136-7;C6orf136-3;C6orf136-5
GO:0001968,fibronectin binding,-0.791009794,-2.290007577,0,0.143163747,0.361,10月23日,6.01%,CCN2;IGFBP5;IGFBP3;THBS1;SDC4;LOXL3;CCDC80;VEGFA;FBLN1;CTSL
GO:1904427,positive regulation of calcium ion transmembrane transport,-0.680736097,-2.284885319,0,0.138855332,0.374,16/52,10.15%,CEMIP;GSTM2;JPH2;P2RY6;G6PD;HSPA2;DRD1;PLCG1;CAPN3;STIM1;SRI;CACNB2;EHD3;HAP1;KCNE3;THY1
GO:0140014,mitotic nuclear division,0.55784705,2.283893833,0,0,0,114/300,13.71%,RPL24;PDS5B;RRS1;KIFC1;NCAPH;CDCA8;CDCA5;BUB1;TPX2;MKI67;UBE2C;CENPF;AURKA;NCAPD2;INCENP;ANLN;SPHK1;KIF2C;NEK2;SPDL1;CDC23;NUSAP1;PLK1;CDT1;KIF23;ZWINT;NUP160;KIF4A;TACC3;CCNB2;RANBP1;CUL3;NIPBL;KIFC1-2;CEP192;DLGAP5;MAD2L1;KIF4B;SMC2;NCAPH2;KIF11;MYBL2;KIF22;GEN1;BUB3;KIF18B;NUP107;PRC1;SGO1;CDC27;NCAPD3;NDC1;AHCTF1;CCNB1;BUB1B;SMC3;ZW10;CSNK2A2;SMC4;SEC13;CENPE;GALNT18;XRCC3;APC;SMC1A;EREG;PTTG1;CDC20;NUF2;STAG2;NUP188;PHB2;DSCC1;MACROH2A1;TPR;NUP93;AURKB;SPAG5;NCAPG;RAD21;PDS5A;TTK;CHMP3;VPS4B;POM121;BIRC5;CDK1;FBXO5;PDXP;ANAPC1;PKMYT1;NUDC;RACGAP1;AAAS-2;RAB11A;NDC80;NSFL1C;PHIP;CEP97;KIF20B;NUP62;CLASP2;KATNB1;HNRNPU;TRIP13;TTN;EML4;PIN1;AKAP8;PRMT5;USP16-2;USP16;KIF3B;CEP85
GO:0006959,humoral immune response,-0.584671213,-2.28376146,0,0.129076152,0.377,31/124,7.50%,MASP1-2;CCL2;HLA-E-3;MASP1;C1R-2;C1R;ADM;C1S;RGCC;C1RL-2;C1RL;TNFRSF21;MFAP4;CLU;C6;SERPING1;BCL3;BST1;TFEB;HLA-A-7;COLEC10;TFE3-2;HLA-E-7;HLA-E-6;HLA-E-2;CFB-2;CFB-3;CFB-7;CFB-5;EBI3;PSMB10
GO:0007051,spindle organization,0.566328158,2.277393777,0,0,0,133/261,22.27%,KIFC1;CDCA8;KNL1;ERCC6L;BUB1;TPX2;CENPF;ASPM;AURKA;INCENP;ZWILCH;KIF2C;HAUS6;NEK2;SPDL1;CKAP5;WDR62;PLK1;KIF23;HAUS8;ZWINT;NUP160;KIF4A;TACC3;CCNB2;RANBP1;KIFC1-2;SPC25-2;CEP192;DLGAP5;MAD2L1;KIF4B;ITGB3BP;KIF11;MYBL2;GPSM2;CLTC;CENPI;TUBB-5;BUB3;NUP107;PRC1;HAUS2;SGO1;CENPU;MLH1;CENPO;NCOR1;AHCTF1;STIL;CCNB1;BUB1B;HAUS1;SMC3;ZW10;CENPA;SEC13;PCNT;CENPE;CENPJ;PAFAH1B1;SMC1A;CENPM;DCTN6;CDC20;NUF2;STAG2;WASHC5;CENPS-CORT;TPR;AURKB;SPAG5;TTK;SAC3D1;AUNIP;VPS4B;HAUS5;BIRC5;CEP63;RANBP2;FBXO5;NUDC;CENPT;STMN1;RACGAP1;AAAS-2;RAB11A;NDC80;TUBGCP3;CEP97;NUP62;CLASP2;NTMT1;INTS13;HNRNPU;EML4;CENPN;KIF3B;MAPRE1;PPP1CC;TAOK1;SEPTIN1;TBCE-2;CENPH;KNSTRN;KNTC1;BORA;TACC1;DYNC1LI2;TPPP;RPS27;SBDS;TUBB-6;SGO2;KIF2A;LSM14A-2;TBCE;TUBB-8;DYNC1I1;CEP72-2;NUP133;CHMP4C;CLIP1;ABRAXAS2;KPNB1;KIZ;CENPC;HAUS3;KIF18A;PSRC1;ATRX;MIS12;SEH1L
GO:0044391,ribosomal subunit,0.593505094,2.27618542,0,0,0,93/182,22.98%,RPS6;RPL24;RPS9-8;RPL10A;RPL15;MRPL1;RPL26;MRPL3;MRPL58;RPL17;MRPL51;RPL30;RPLP0;RPS8;RPS15;RPL6;MRPS9;RPS21;RPL7A-2;RPL7A;MRPL50;MRPS31;RPSA2;RPL29;RPS13;MRPS11;RPS2;RPS2-2;RPS26;NDUFAB1;DHX29;RPS24;EIF2A;MRPL46;MRPS18C;RPS5;MRPL37;RPS14;RPL26L1;RPL10;MRPL20;RSL24D1;RPL18A;RPL35;RPS12;MRPS2;RPSA;MRPL24;MRPL39;RPL18;MRPL10;RPS27A;RPL14;ZCCHC17;RPL32;MRPL21;RPS9;RPL28;RPLP2;MRPL54;RPL36A;RPL4;RPS15A;DAP3;RPL5;RPL23;MRPL27;RPS16;MRPS35;MRPS18A;LARP4;MPV17L2;RPS7;RPS27;MRPS10;MRPL38;RPS10;RPS11;RPL7;MRPL28;MCTS1;MCTS1-2;RPL8;RPS3A;RPS3A-2;MRPL19;MRPS18B;MRPS18B-4;MRPS18B-2;MRPS18B-3;MRPS18B-5;MRPS18B-7;RPL19
GO:0030449,regulation of complement activation,-0.703368221,-2.274860078,0,0.133006294,0.398,12/42,8.16%,MASP1-2;MASP1;C1R-2;C1R;C1S;C6;SERPING1;CFB-2;CFB-3;CFB-7;CFB-5;CD55
GO:0005840,ribosome,0.572211919,2.266379817,0,0,0,122/249,22.98%,RPS6;RPL24;RPS9-8;RPL10A;RPL34;RPL15;SERP1;MRPL1;RPL12;RPL26;DHX9;MRPL3;MRPL58;EIF2AK2;RPL17;MRPL51;RPL30;RPLP0;RPS8;RPS15;RPL6;MRPS9;RPS21;RPL7A-2;RPL7A;MRPL50;MRPS31;RPL36AL;RPSA2;RPL29;ABCF1;ABCF1-2;ABCF1-4;ABCF1-7;ABCF1-3;ABCF1-6;ABCF1-5;RPS13;MRPS11;BTF3;RPS2;RPS2-2;RPS26;NDUFAB1;DHX29;RPS24;EIF2A;MRPL46;MRPS18C;RPS5;MRPL37;MRPS23;RPS14;RPL26L1;PNPT1;RPL10;MRPL20;RSL24D1;HSPA14;RPL18A;RPL35;RPS12;MRPS2;RPSA;MRPL24;MRPL39;RPL18;MRPL10;RPS27A;RPL14;ZCCHC17;RPL32;MRPL21;RPS9;RPL28;RPLP2;MRPL54;RPL36A;RPL4;RPS15A;DAP3;RPL5;RPL23;MRPL27;RPS16;MRPS35;MRPS18A;NDUFA7;TBCE-2;LARP4;MPV17L2;RPL22L1;RPS7;RPS27;MRPS10;RPS6KC1;MRPL38;FAU;RPS4X;RPS10;RPS11;TBCE;RPS25;RPL7;MRPL28;RPS25-2;ETF1;MCTS1;MCTS1-2;RPL8;RPS3A;RPS3A-2;MRPL19;EEF2;MRPL23;MRPS18B;MRPS18B-4;MRPS18B-2;MRPS18B-3;MRPS18B-5;MRPS18B-7;RPL19
GO:0051281,positive regulation of release of sequestered calcium ion into cytosol,-0.772667206,-2.259991652,0.002604167,0.142040894,0.425,6月27日,3.05%,CEMIP;GSTM2;JPH2;P2RY6;DRD1;PLCG1
GO:0090313,regulation of protein targeting to membrane,-0.750196639,-2.259083127,0,0.134482513,0.426,4/34,1.56%,CEMIP;ERBB2;STOM;TCAF2
GO:0010522,regulation of calcium ion transport into cytosol,-0.649066636,-2.258164422,0,0.128434141,0.429,19/62,12.09%,CEMIP;GSTM2;JPH2;P2RY6;P2RX4;P2RX7;DRD1;PLCG1;CAPN3;PRKD1;SRI;CD4;HAP1;TMEM38A;THY1;SELENON;FYN;CACNA1C;FKBP1B
GO:0005201,extracellular matrix structural constituent,-0.601556472,-2.252803303,0,0.126640753,0.437,32/92,8.60%,NID2;COL3A1-2;FBN2;COL4A5;COL11A1;THBS1;TUFT1;LAMB1;COL8A2;COL18A1;COL5A2;COL4A1;LAMA5;LAMA4;LUM;COL1A2;FBLN1;DCN;COL5A1;HSPG2;COL24A1;COL8A1;EMILIN3;COL6A3;COL4A2;TINAGL1;PXDN;COL9A3;FBLN2;CD4;COL11A2;COL27A1
GO:0051279,regulation of release of sequestered calcium ion into cytosol,-0.660636881,-2.243345548,0.002645503,0.132133457,0.451,15/50,12.09%,CEMIP;GSTM2;JPH2;P2RY6;DRD1;PLCG1;CAPN3;PRKD1;SRI;HAP1;TMEM38A;THY1;SELENON;CACNA1C;FKBP1B
GO:0090314,positive regulation of protein targeting to membrane,-0.763996753,-2.24227006,0.002808989,0.126758013,0.455,4月29日,1.56%,CEMIP;ERBB2;STOM;TCAF2
GO:0000779,"condensed chromosome, centromeric region",0.623313999,2.240662271,0,0,0,45/111,11.72%,CENPW;SKA3;BUB1;CENPF;NCAPD2;INCENP;ZWILCH;KIF2C;NEK2;SPDL1;CKAP5;CDT1;ZWINT;NUP160;SPC25-2;MAD2L1;CBX3;CENPI;KIF22;BUB3;NUP107;SGO1;CENPO;SKA1;NCAPD3;BUB1B;ZW10;PBRM1;CENPA;SEC13;CENPE;PAFAH1B1;APC;SMC1A;NUF2;TPR;AURKB;SPAG5;NCAPG;KMT5B;TTK;GPATCH11;CENPT;SIN3A;NDC80
GO:0002181,cytoplasmic translation,0.609479469,2.239203758,0,0,0,72/118,21.06%,RPL24;EIF3C;RPL10A;EIF5;RPL15;FTSJ1;DHX9;RPL17;RPL30;RPLP0;RPL6;EIF4A1;RPS21;EIF3D;RPL7A-2;RPL7A;RPSA2;RPL29;RPS13;RPS2;RPS2-2;RPS26;DHX29;EIF3F;RPS24;RPS14;RPL10;AARS1;EIF3A;RPL18A;RPL35;RPS12;RPSA;CPEB1;EIF3G;DPH6;RPL18;EIF3I;RPL14;DHX36;RBM24;RPL28;RPLP2;EIF4G1;EIF3K;EIF3K-2;EIF2S2;RPL4;RPL5;RPS16;GSPT1;EIF3L;RPL22L1;RPS7;EIF2S3;DRG2;EIF3H;RPS27;DPH5;EIF2B3;RPS10;RPS11;RPL7;ETF1;DPH2;MCTS1;MCTS1-2;RPL8;RPS3A;RPS3A-2;CNBP;EEF2
