KO_ID,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
ko04510,Focal adhesion,-0.299025141,-1.23655706,0.114982578,0.382564563,0.999,50/197,13.34%,COL4A5;PDGFRB;THBS1;IGF1R;LAMB1;ACTN1;ERBB2;RAPGEF1;COL4A1;PIP5K1A;MYLK;LAMA5;ITGB3;VCL;LAMA4;ACTN4-2;VEGFA;COL1A2;PIK3CD;ACTG1-2;ACTG1;PDGFD;HGF;COL6A3;ITGA8;SHC3;COL4A2;ITGA11;FLNA;COL9A3;COL6A6;CRK;ACTB;ILK;CCND3;PIP5K1C;TLN1;CRKL;COL4A6;FYN;PDGFA;RELN;GRB2;MYL5;RASGRF1;AKT3-2;VTN;PRKCA;LAMB2;MYLK3
ko04912,GnRH signaling pathway,0.358847055,1.231065091,0.150306748,0.493853942,1,22/79,22.29%,MMP14;MAPK13;HBEGF;PLA2G4A;PLCB3;EGFR;MAP3K4;CALM1;PLCB1;SOS2;NRAS;PRKACB;ELK1;MAP3K2;PRKACA;CAMK2B;MAPK8;ATF4;PLA2G4C;HRAS;HRAS-2;MAP2K1
ko04370,VEGF signaling pathway,0.380931275,1.228595999,0.170118343,0.486643003,1,19/56,25.72%,RAC2;MAPK13;SPHK1;PXN;PLA2G4A;KDR;NFATC2;MAPKAPK3;NRAS;HSPB1;PIK3CB;PLA2G4C;HRAS;HRAS-2;MAP2K1;PIK3R3;AKT2;PTGS2;PPP3CA
ko04659,Th17 cell differentiation,-0.332494163,-1.225263455,0.138157895,0.393481158,0.999,24/97,11.90%,STAT3;STAT6;SMAD3;STAT1;IL6R;PLCG1;IL6;HLA-DMA-4;MTOR;RXRA;MAPK14;STAT5B;EBI3;CD4;IL1R1;STAT5A;HLA-DMB-2;HLA-DMB-7;HLA-DMB-5;HLA-DMB-4;PRKCQ;HLA-DPB1-3;JAK3;NFKB1
ko04015,Rap1 signaling pathway,-0.301823066,-1.224731794,0.122807018,0.386186501,0.999,32/181,8.41%,CSF1;PDGFRB;THBS1;IGF1R;ADCY9;RAPGEF1;FGFR4;FGF9;TEK;ITGB3;EFNA5;ENAH;VEGFA;SIPA1L1;PLCG1;PIK3CD;ACTG1-2;ACTG1;PDGFD;ADORA2B;HGF;ARAP3;CTNND1;MRAS;FGF1;MAPK14;PRKD1;CRK;ACTB;ADCY3;ANGPT1;FGFR1
ko00983,Drug metabolism - other enzymes,0.38508511,1.217128661,0.192846034,0.505724717,1,9/48,7.38%,GSTO1;NME1;RRM2;ITPA;GMPS;TK2;RRM2B;RRM1;CMPK1
ko04120,Ubiquitin mediated proteolysis,0.317658066,1.208255755,0.129602356,0.518099243,1,38/146,20.69%,UBE2B;UBA2-2;UBE2C;BIRC2;NHLRC1;WWP1;UBE2E3;CDC23;TRAF6;CUL3;UBR5;BRCA1;SAE1;CDC27;UBB;CDC20;CUL2;CUL4B;RPS27A;ANAPC1;CBLB;UBOX5;MDM2;UBE2G1;CUL1;UBE2K;FANCL;PIAS3;FZR1;UBE3A;PIAS1;NEDD4;ANAPC10;UBE4A;FBXW7;TRIP12;LOC102723564-2;UBE2I
ko00260,"Glycine, serine and threonine metabolism",0.402107741,1.199314506,0.222748815,0.529232642,1,10/34,18.43%,PSAT1;GCSH;GCSH-2;PSPH;PHGDH;SHMT2;AOC2;LOC102724560;PGAM4;GCAT
ko00670,One carbon pool by folate,0.451467773,1.19801063,0.249185668,0.519836214,1,8月20日,22.78%,MTHFD2;ALDH1L2;MTHFS;MTR;SHMT2;MTHFD1;TYMS;GART-2
ko00770,Pantothenate and CoA biosynthesis,0.460085909,1.196565529,0.257377049,0.511102873,1,6月19日,10.61%,BCAT1;ENPP1;PANK2;CSAD;ALDH16A1;PANK1
