GeneID,logFC,Pvalue,FDR,Up/Down-Regulation,Gene_name
A1BG,-0.299067669,0.212652809,0.212652809,*,A1BG
A1BG-AS1,-0.154829192,0.399793507,0.399793507,*,A1BG-AS1
A2M,-0.206074918,0.033271819,0.033271819,*,A2M
A2M-AS1,-1.16763603,0.520993478,0.520993478,*,A2M-AS1
A4GALT,-0.144194522,0.302660233,0.302660233,*,A4GALT
AAAS,-0.114830235,0.41898889,0.41898889,*,AAAS
AAAS-2,0.088012523,0.457007987,0.457007987,*,AAAS
AACS,-0.138401062,0.190794663,0.190794663,*,AACS
AADAC,-0.584147545,0.730148896,0.730148896,*,AADAC
AADAT,0.200070499,0.436477036,0.436477036,*,AADAT
AAGAB,0.009919651,0.935461454,0.935461454,*,AAGAB
AAK1,-0.077020079,0.304234182,0.304234182,*,AAK1
AAMDC,-0.334265831,0.031054144,0.031054144,*,AAMDC
AAMP,-0.094633843,0.281561371,0.281561371,*,AAMP
AANAT,1.7826395,0.659091782,0.659091782,*,AANAT
AAR2,-0.18200471,0.044155436,0.044155436,*,AAR2
AARD,-0.752080186,0.653645966,0.653645966,*,AARD
AARS1,0.142240795,0.01580015,0.01580015,*,AARS1
AARS2,-0.204355549,0.137318503,0.137318503,*,AARS2
AARSD1,0.148750681,0.196655067,0.196655067,*,AARSD1
AASDH,0.100690648,0.781555446,0.781555446,*,AASDH
AASDHPPT,0.056642801,0.604936665,0.604936665,*,AASDHPPT
AASS,-0.071765616,0.72237004,0.72237004,*,AASS
AATBC,-0.289758088,0.872350183,0.872350183,*,AATBC
AATF,-0.003174874,0.975893654,0.975893654,*,AATF
AATF-2,0.012442967,0.905006859,0.905006859,*,AATF
AATK,1.0807744,0.275844847,0.275844847,*,AATK
ABALON,-0.113361823,0.588655512,0.588655512,*,ABALON
ABAT,-0.473458609,0.065062927,0.065062927,*,ABAT
ABCA1,0.546175754,4.20E-05,4.20E-05,*,ABCA1
ABCA10,-1.996874091,0.620212066,0.620212066,*,ABCA10
ABCA12,0.066252891,0.973574801,0.973574801,*,ABCA12
ABCA13,-0.077630867,0.961646917,0.961646917,*,ABCA13
ABCA2,0.01871013,0.839867574,0.839867574,*,ABCA2
ABCA3,-0.040506405,0.922845021,0.922845021,*,ABCA3
ABCA4,-1.222636287,0.341693241,0.341693241,*,ABCA4
ABCA5,0.500668266,0.509312228,0.509312228,*,ABCA5
ABCA6,0.918290647,0.821944146,0.821944146,*,ABCA6
ABCA7,0.013044661,0.968890022,0.968890022,*,ABCA7
ABCA8,-0.44029155,0.551637033,0.551637033,*,ABCA8
ABCB1,0.486850167,0.037182673,0.037182673,*,ABCB1
ABCB10,0.060830336,0.693986054,0.693986054,*,ABCB10
ABCB11-2,-1.005262704,0.805404059,0.805404059,*,ABCB11
ABCB4,0.722494483,0.619968217,0.619968217,*,ABCB4
ABCB6,-0.329882457,0.031482624,0.031482624,*,ABCB6
ABCB7,0.166821298,0.378205382,0.378205382,*,ABCB7
ABCB8,0.088517845,0.39989863,0.39989863,*,ABCB8
ABCB9,0.001627646,0.993095652,0.993095652,*,ABCB9
ABCC1,-0.467164436,1.94E-14,1.94E-14,*,ABCC1
ABCC10,-0.134994646,0.239401826,0.239401826,*,ABCC10
ABCC11,-0.827277483,0.46792404,0.46792404,*,ABCC11
ABCC1-2,-0.383058598,1.23E-07,1.23E-07,*,ABCC1
ABCC2,0.705765344,0.54011259,0.54011259,*,ABCC2
ABCC3,-0.418968922,1.31E-08,1.31E-08,*,ABCC3
ABCC4,-0.019042377,0.77690751,0.77690751,*,ABCC4
ABCC5,-0.260161934,0.019540403,0.019540403,*,ABCC5
ABCC6,0.030162952,0.978334386,0.978334386,*,ABCC6
ABCC6-2,0.408682375,0.700971294,0.700971294,*,ABCC6
ABCC9,-0.06850647,0.761153728,0.761153728,*,ABCC9
ABCD1,-0.056218434,0.633377315,0.633377315,*,ABCD1
ABCD2,3.235046231,0.363516609,0.363516609,*,ABCD2
ABCD3,0.21237767,0.046754231,0.046754231,*,ABCD3
ABCD4,-0.078213097,0.659936821,0.659936821,*,ABCD4
ABCE1,0.319976057,1.45E-05,1.45E-05,*,ABCE1
ABCF1,0.06353926,0.637086608,0.637086608,*,ABCF1
ABCF1-2,0.06353926,0.637086608,0.637086608,*,ABCF1
ABCF1-3,0.06353926,0.637086608,0.637086608,*,ABCF1
ABCF1-4,0.06353926,0.637086608,0.637086608,*,ABCF1
ABCF1-5,0.06353926,0.637086608,0.637086608,*,ABCF1
ABCF1-6,0.06353926,0.637086608,0.637086608,*,ABCF1
ABCF1-7,0.06353926,0.637086608,0.637086608,*,ABCF1
ABCF1-DT,-1.005262704,0.805404059,0.805404059,*,ABCF1-DT
ABCF2,-0.070671457,0.425091206,0.425091206,*,ABCF2
ABCF2-H2BK1,-0.107977359,0.167124318,0.167124318,*,ABCF2-H2BK1
ABCF3,0.152424601,0.093979795,0.093979795,*,ABCF3
ABCG1,-2.958615188,0.397479962,0.397479962,*,ABCG1
ABCG2,0.244390951,0.446396888,0.446396888,*,ABCG2
ABCG4,0.440868491,0.555948278,0.555948278,*,ABCG4
ABCG8,1.7826395,0.659091782,0.659091782,*,ABCG8
ABHD1,0.116818008,0.974265636,0.974265636,*,ABHD1
ABHD10,0.073462353,0.61571628,0.61571628,*,ABHD10
ABHD11,0.412683117,0.043670673,0.043670673,*,ABHD11
ABHD11-AS1,2.696406138,0.258213158,0.258213158,*,ABHD11-AS1
ABHD12,0.030689086,0.589231849,0.589231849,*,ABHD12
ABHD12B,0.050963452,0.959538291,0.959538291,*,ABHD12B
ABHD13,-0.031567373,0.849698015,0.849698015,*,ABHD13
ABHD14A,0.017494448,0.944100909,0.944100909,*,ABHD14A
ABHD14A-ACY1,-4.595147797,0.047478499,0.047478499,Down,ABHD14A-ACY1
ABHD14B,-0.033910476,0.795799115,0.795799115,*,ABHD14B
ABHD15,-0.208893353,0.125683656,0.125683656,*,ABHD15
ABHD16A-2,0.019146543,0.905083616,0.905083616,*,ABHD16A
ABHD16A-3,0.019146543,0.905083616,0.905083616,*,ABHD16A
ABHD16A-5,0.019146543,0.905083616,0.905083616,*,ABHD16A
ABHD17A,0.033983761,0.720329024,0.720329024,*,ABHD17A
ABHD17B,0.324260228,0.08903427,0.08903427,*,ABHD17B
ABHD17C,-0.135987943,0.210915085,0.210915085,*,ABHD17C
ABHD18,0.037866976,0.911072429,0.911072429,*,ABHD18
ABHD2,0.254883982,3.22E-05,3.22E-05,*,ABHD2
ABHD3,-0.121529521,0.621015087,0.621015087,*,ABHD3
ABHD4,-0.267091441,0.001643489,0.001643489,*,ABHD4
ABHD5,0.039871356,0.718611659,0.718611659,*,ABHD5
ABHD6,-0.196990568,0.326358295,0.326358295,*,ABHD6
ABHD8,-0.246930701,0.149962311,0.149962311,*,ABHD8
ABI1,0.079785269,0.377904242,0.377904242,*,ABI1
ABI2,0.023532313,0.780616437,0.780616437,*,ABI2
ABI3,1.106628996,0.014804303,0.014804303,Up,ABI3
ABI3BP,0.118598425,0.767177108,0.767177108,*,ABI3BP
ABITRAM,0.041573274,0.85555976,0.85555976,*,ABITRAM
ABL1,-0.087508231,0.106563308,0.106563308,*,ABL1
ABL2,0.126468836,0.096688415,0.096688415,*,ABL2
ABLIM1,-0.134093193,0.485857501,0.485857501,*,ABLIM1
ABLIM2,-4.143968112,0.150724516,0.150724516,*,ABLIM2
ABLIM3,0.282758458,8.76E-06,8.76E-06,*,ABLIM3
ABR,-0.667786788,0.302355883,0.302355883,*,ABR
ABR-2,-0.002550913,0.974714726,0.974714726,*,ABR
ABR-3,-0.065113025,0.479657754,0.479657754,*,ABR
ABRACL,-0.130942385,0.329396221,0.329396221,*,ABRACL
ABRAXAS1,-0.18743989,0.5184191,0.5184191,*,ABRAXAS1
ABRAXAS2,0.130844594,0.438749549,0.438749549,*,ABRAXAS2
ABT1,0.359420512,0.173726053,0.173726053,*,ABT1
ABT1-2,0.09858825,0.39335255,0.39335255,*,ABT1
ABTB1,0.130508137,0.542908834,0.542908834,*,ABTB1
ABTB2,0.132200821,0.620800692,0.620800692,*,ABTB2
ABTB3,0.668415708,0.066482525,0.066482525,*,ABTB3
ACAA1,-0.026068616,0.790417156,0.790417156,*,ACAA1
ACAA2,0.00847941,0.919852392,0.919852392,*,ACAA2
ACACA,-0.488516401,0.000117539,0.000117539,*,ACACA
ACACA-2,0.27432522,0.006899731,0.006899731,*,ACACA
ACACB,-0.066255507,0.813277636,0.813277636,*,ACACB
ACAD10,-0.159558603,0.266715054,0.266715054,*,ACAD10
ACAD11,0.119540013,0.497192026,0.497192026,*,ACAD11
ACAD8,-0.113209773,0.43695495,0.43695495,*,ACAD8
ACAD9,-0.074976341,0.448994373,0.448994373,*,ACAD9
ACAD9-DT,-1.101198182,0.324360935,0.324360935,*,ACAD9-DT
ACADM,0.317369593,0.062099683,0.062099683,*,ACADM
ACADS,0.090669323,0.65539345,0.65539345,*,ACADS
ACADSB,0.050162909,0.790885181,0.790885181,*,ACADSB
ACADVL,0.097040069,0.076690354,0.076690354,*,ACADVL
ACAN,0.065684056,0.867270365,0.867270365,*,ACAN
ACAP1,-0.97594636,0.788450853,0.788450853,*,ACAP1
ACAP1-2,-0.97594636,0.788450853,0.788450853,*,ACAP1
ACAP2,0.237855888,0.057123106,0.057123106,*,ACAP2
ACAP3,0.068647049,0.466055817,0.466055817,*,ACAP3
ACAT1,0.086111599,0.468351853,0.468351853,*,ACAT1
ACAT2,-0.055052691,0.498808939,0.498808939,*,ACAT2
ACBD3,0.207657134,0.024131737,0.024131737,*,ACBD3
ACBD4,-0.551860218,0.048429137,0.048429137,*,ACBD4
ACBD5,0.455589884,0.001518218,0.001518218,*,ACBD5
ACBD6,-0.208341794,0.041371502,0.041371502,*,ACBD6
ACBD7,-0.271582735,0.548119539,0.548119539,*,ACBD7
ACCS,-0.209982309,0.608398904,0.608398904,*,ACCS
ACD,0.231843959,0.19108249,0.19108249,*,ACD
ACE,-0.056027945,0.821942487,0.821942487,*,ACE
ACER1,-2.877950281,0.46764803,0.46764803,*,ACER1
ACER2,0.110257104,0.847236129,0.847236129,*,ACER2
ACER3,0.131674226,0.427876095,0.427876095,*,ACER3
ACHE,0.845125676,0.574974862,0.574974862,*,ACHE
ACIN1,-0.049466443,0.376172681,0.376172681,*,ACIN1
ACKR2,-0.043482025,0.991497804,0.991497804,*,ACKR2
ACKR3,-1.581177451,0.001818408,0.001818408,Down,ACKR3
ACKR4,0.487581529,0.43136778,0.43136778,*,ACKR4
ACLY,-0.046273333,0.304228419,0.304228419,*,ACLY
ACO1,-0.231066773,2.20E-06,2.20E-06,*,ACO1
ACO2,-0.027760037,0.684523076,0.684523076,*,ACO2
ACOT1,-0.126471789,0.586210532,0.586210532,*,ACOT1
ACOT11,0.258968733,0.289553526,0.289553526,*,ACOT11
ACOT12,0.105498919,0.92850675,0.92850675,*,ACOT12
ACOT13,-0.254454031,0.108206824,0.108206824,*,ACOT13
ACOT2,-0.193030096,0.143275728,0.143275728,*,ACOT2
ACOT4,-0.201031787,0.769549737,0.769549737,*,ACOT4
ACOT7,0.083416624,0.238162069,0.238162069,*,ACOT7
ACOT8,0.059900629,0.69582088,0.69582088,*,ACOT8
ACOT9,-0.034812648,0.672753293,0.672753293,*,ACOT9
ACOX1,0.052132316,0.64443088,0.64443088,*,ACOX1
ACOX2,-0.166584688,0.588764348,0.588764348,*,ACOX2
ACOX3,-0.053580892,0.60423174,0.60423174,*,ACOX3
ACOXL,-0.108200316,0.974025207,0.974025207,*,ACOXL
ACP1,0.018023401,0.813951287,0.813951287,*,ACP1
ACP2,-0.003207176,0.971928343,0.971928343,*,ACP2
ACP3,0.074986973,0.848317534,0.848317534,*,ACP3
ACP5,-0.760662476,0.650129296,0.650129296,*,ACP5
ACP6,-0.222883921,0.488933673,0.488933673,*,ACP6
ACP7,-2.772626761,0.275210659,0.275210659,*,ACP7
ACR,-1.8541127,0.64645526,0.64645526,*,ACR
ACR-2,-1.8541127,0.64645526,0.64645526,*,ACR
ACRBP,-0.804722276,0.672095871,0.672095871,*,ACRBP
ACRV1,2.346240386,0.557293005,0.557293005,*,ACRV1
ACSBG1,-0.043482025,0.991497804,0.991497804,*,ACSBG1
ACSF2,-0.19611016,0.17193077,0.17193077,*,ACSF2
ACSF3,0.071689188,0.626928219,0.626928219,*,ACSF3
ACSL1,-0.07464875,0.492901263,0.492901263,*,ACSL1
ACSL3,0.050664047,0.562116356,0.562116356,*,ACSL3
ACSL3-AS1,1.466465094,0.399573261,0.399573261,*,ACSL3-AS1
ACSL4,0.05066926,0.498401542,0.498401542,*,ACSL4
ACSL5,-0.075066679,0.751850165,0.751850165,*,ACSL5
ACSM3,0.262752757,0.889826413,0.889826413,*,ACSM3
ACSS1,-1.098041826,0.091815337,0.091815337,*,ACSS1
ACSS2,-0.152038509,0.16345493,0.16345493,*,ACSS2
ACSS3,0.129340594,0.618809686,0.618809686,*,ACSS3
ACTA2,-0.540864843,1.76E-24,1.76E-24,*,ACTA2
ACTA2-AS1,-0.748550036,0.326013639,0.326013639,*,ACTA2-AS1
ACTB,-0.1075682,0.008373208,0.008373208,*,ACTB
ACTBL2,-3.445448628,0.2597037,0.2597037,*,ACTBL2
ACTC1,-0.600857618,0.722541216,0.722541216,*,ACTC1
ACTE1P,-2.88410727,0.373732536,0.373732536,*,ACTE1P
ACTG1,-0.086336656,0.013913543,0.013913543,*,ACTG1
ACTG1-2,-0.086336656,0.013913543,0.013913543,*,ACTG1
ACTG2,-0.214198391,3.79E-07,3.79E-07,*,ACTG2
ACTL10,-0.158478848,0.765801219,0.765801219,*,ACTL10
ACTL6A,0.117815936,0.216883752,0.216883752,*,ACTL6A
ACTL7B,0.918290647,0.821944146,0.821944146,*,ACTL7B
ACTL8,2.601795608,0.326052269,0.326052269,*,ACTL8
ACTMAP,0.371489003,0.151302953,0.151302953,*,ACTMAP
ACTN1,-0.258195864,2.41E-09,2.41E-09,*,ACTN1
ACTN1-DT,0.918290647,0.821944146,0.821944146,*,ACTN1-DT
ACTN3,-1.288312405,0.33134248,0.33134248,*,ACTN3
ACTN4,-0.074804143,0.134181312,0.134181312,*,ACTN4
ACTN4-2,-0.115812277,0.011025415,0.011025415,*,ACTN4
ACTR10,-0.153179002,0.101510149,0.101510149,*,ACTR10
ACTR1A,0.018867211,0.712801544,0.712801544,*,ACTR1A
ACTR1B,-0.089718759,0.425066699,0.425066699,*,ACTR1B
ACTR1B-2,-0.089718759,0.425066699,0.425066699,*,ACTR1B
ACTR2,0.12801145,0.029798502,0.029798502,*,ACTR2
ACTR3,0.101212309,0.121340242,0.121340242,*,ACTR3
ACTR3-AS1,-0.043482025,0.991497804,0.991497804,*,ACTR3-AS1
ACTR3B,0.144229388,0.608744887,0.608744887,*,ACTR3B
ACTR3C,-0.378970765,0.718504568,0.718504568,*,ACTR3C
ACTR5,0.084167066,0.699715936,0.699715936,*,ACTR5
ACTR6,0.009012201,0.966107733,0.966107733,*,ACTR6
ACTR8,0.064157266,0.501369999,0.501369999,*,ACTR8
ACTRT3,-0.178077749,0.592323288,0.592323288,*,ACTRT3
ACVR1,-0.118213153,0.140450116,0.140450116,*,ACVR1
ACVR1B,-0.157056865,0.158363906,0.158363906,*,ACVR1B
ACVR1C,0.830232897,0.570181693,0.570181693,*,ACVR1C
ACVR2A,0.209644862,0.526378302,0.526378302,*,ACVR2A
ACVR2B,0.319030553,0.347425678,0.347425678,*,ACVR2B
ACVR2B-AS1,-0.077039072,0.954867341,0.954867341,*,ACVR2B-AS1
ACVRL1,-0.216399182,0.063843918,0.063843918,*,ACVRL1
ACY1,0.157817137,0.45161533,0.45161533,*,ACY1
ACYP1,0.061893589,0.819927322,0.819927322,*,ACYP1
ACYP2,0.225761058,0.413731501,0.413731501,*,ACYP2
ADA,0.1417513,0.522479573,0.522479573,*,ADA
ADA2,1.941607495,0.402749202,0.402749202,*,ADA2
ADAL,-0.070660121,0.841393576,0.841393576,*,ADAL
ADAM10,0.059189444,0.492110446,0.492110446,*,ADAM10
ADAM11,1.088113025,0.323465731,0.323465731,*,ADAM11
ADAM12,0.009020874,0.949018776,0.949018776,*,ADAM12
ADAM15,-0.063668225,0.405536396,0.405536396,*,ADAM15
ADAM17,0.075110575,0.512516705,0.512516705,*,ADAM17
ADAM19,-0.030559344,0.588576904,0.588576904,*,ADAM19
ADAM20,1.031758565,0.45636242,0.45636242,*,ADAM20
ADAM21,-2.392555785,0.235164714,0.235164714,*,ADAM21
ADAM22,-0.126769628,0.960166542,0.960166542,*,ADAM22
ADAM23,-0.079382029,0.482473938,0.482473938,*,ADAM23
ADAM28,-1.005262704,0.805404059,0.805404059,*,ADAM28
ADAM32,-1.005262704,0.805404059,0.805404059,*,ADAM32
ADAM32-2,0.89631952,0.688891512,0.688891512,*,ADAM32
ADAM33,-0.421594878,0.010520432,0.010520432,*,ADAM33
ADAM8,1.062775058,0.14497093,0.14497093,*,ADAM8
ADAM9,0.10359373,0.107426227,0.107426227,*,ADAM9
ADAMTS1,-0.470167767,1.06E-21,1.06E-21,*,ADAMTS1
ADAMTS10,-0.067087468,0.85984347,0.85984347,*,ADAMTS10
ADAMTS12,-0.168023536,0.022544651,0.022544651,*,ADAMTS12
ADAMTS12-2,-1.83502067,0.624495088,0.624495088,*,ADAMTS12
ADAMTS13,-0.597911034,0.631705295,0.631705295,*,ADAMTS13
ADAMTS13-2,-0.325588497,0.790422999,0.790422999,*,ADAMTS13
ADAMTS14,-0.232374124,0.418320507,0.418320507,*,ADAMTS14
ADAMTS15,0.065861463,0.862889087,0.862889087,*,ADAMTS15
ADAMTS16,1.2856162,0.639552161,0.639552161,*,ADAMTS16
ADAMTS17,-0.917792834,0.82027967,0.82027967,*,ADAMTS17
ADAMTS18,0.918290647,0.821944146,0.821944146,*,ADAMTS18
ADAMTS19,-0.164201984,0.633130586,0.633130586,*,ADAMTS19
ADAMTS19-AS1,0.873955706,0.742076292,0.742076292,*,ADAMTS19-AS1
ADAMTS2,-0.143879134,0.00957937,0.00957937,*,ADAMTS2
ADAMTS20,-0.438409491,0.860195212,0.860195212,*,ADAMTS20
ADAMTS3,0.246233673,0.542768007,0.542768007,*,ADAMTS3
ADAMTS4,0.442318172,0.553137257,0.553137257,*,ADAMTS4
ADAMTS5,-0.214164773,0.15199583,0.15199583,*,ADAMTS5
ADAMTS6,0.309745863,0.213459077,0.213459077,*,ADAMTS6
ADAMTS7,-0.498960244,1.59E-05,1.59E-05,*,ADAMTS7
ADAMTS8,-0.658552857,2.08E-09,2.08E-09,*,ADAMTS8
ADAMTS9,-0.668433637,0.067830953,0.067830953,*,ADAMTS9
ADAMTSL1,0.383227235,0.000535353,0.000535353,*,ADAMTSL1
ADAMTSL3,-1.005262704,0.805404059,0.805404059,*,ADAMTSL3
ADAMTSL3-2,-1.005262704,0.805404059,0.805404059,*,ADAMTSL3
ADAMTSL4,-0.545755499,0.003954344,0.003954344,*,ADAMTSL4
ADAMTSL5,-0.190852997,0.244833644,0.244833644,*,ADAMTSL5
ADAP1,-0.188154187,0.41321316,0.41321316,*,ADAP1
ADAP2,0.571400671,0.099415888,0.099415888,*,ADAP2
ADAP2-2,0.571400671,0.099415888,0.099415888,*,ADAP2
ADAR,-0.122418738,0.009818361,0.009818361,*,ADAR
ADARB1,-0.045127691,0.498162493,0.498162493,*,ADARB1
ADAT1,-0.014486736,0.908471665,0.908471665,*,ADAT1
ADAT2,0.112324147,0.749774342,0.749774342,*,ADAT2
ADAT3,0.068271476,0.868075421,0.868075421,*,ADAT3
ADCK1,0.004895034,0.984503231,0.984503231,*,ADCK1
ADCK2,-0.052075734,0.738329018,0.738329018,*,ADCK2
ADCK5,0.283382926,0.334073276,0.334073276,*,ADCK5
ADCK5-2,0.283382926,0.334073276,0.334073276,*,ADCK5
ADCY1,-0.521732949,0.46533965,0.46533965,*,ADCY1
ADCY10,0.688120236,0.728540158,0.728540158,*,ADCY10
ADCY3,-0.160874891,0.088890942,0.088890942,*,ADCY3
ADCY5,-0.063962334,0.94528882,0.94528882,*,ADCY5
ADCY6,-0.137432038,0.111470798,0.111470798,*,ADCY6
ADCY7,-0.066914495,0.53933646,0.53933646,*,ADCY7
ADCY8,-1.005262704,0.805404059,0.805404059,*,ADCY8
ADCY9,-0.227168477,0.000112124,0.000112124,*,ADCY9
ADD1,-0.045786187,0.27531723,0.27531723,*,ADD1
ADD2,-1.828313995,0.651239241,0.651239241,*,ADD2
ADD3,0.293606522,0.001843204,0.001843204,*,ADD3
ADD3-AS1,-0.204575602,0.885766062,0.885766062,*,ADD3-AS1
ADGRA2,-0.057490815,0.309458568,0.309458568,*,ADGRA2
ADGRA3,0.208203122,0.039692782,0.039692782,*,ADGRA3
ADGRB2,0.122460172,0.34896962,0.34896962,*,ADGRB2
ADGRB3,1.7826395,0.659091782,0.659091782,*,ADGRB3
ADGRE2,2.336228069,0.559038019,0.559038019,*,ADGRE2
ADGRE5,0.039396116,0.630225794,0.630225794,*,ADGRE5
ADGRF3,0.78101152,0.512444346,0.512444346,*,ADGRF3
ADGRF4,-1.005262704,0.805404059,0.805404059,*,ADGRF4
ADGRF5,-0.619398353,0.839858076,0.839858076,*,ADGRF5
ADGRG1,0.213190317,0.280946063,0.280946063,*,ADGRG1
ADGRG2,2.97918337,0.09341939,0.09341939,*,ADGRG2
ADGRG4,-0.866532983,0.830355314,0.830355314,*,ADGRG4
ADGRG5,-1.005262704,0.805404059,0.805404059,*,ADGRG5
ADGRG6,-0.105425589,0.527997641,0.527997641,*,ADGRG6
ADGRL1,-0.077740723,0.860358749,0.860358749,*,ADGRL1
ADGRL1-2,-0.077740723,0.860358749,0.860358749,*,ADGRL1
ADGRL1-AS1,0.199935247,0.707025045,0.707025045,*,ADGRL1-AS1
ADGRL1-AS1-2,0.199935247,0.707025045,0.707025045,*,ADGRL1-AS1
ADGRL2,0.027112846,0.866552946,0.866552946,*,ADGRL2
ADGRL3,1.968868407,0.371093626,0.371093626,*,ADGRL3
ADGRL4,0.708722388,6.64E-06,6.64E-06,*,ADGRL4
ADGRV1,-0.043482025,0.991497804,0.991497804,*,ADGRV1
ADH1B,-4.997903935,0.008711242,0.008711242,Down,ADH1B
ADH1C,0.918290647,0.821944146,0.821944146,*,ADH1C
ADH5,-0.188585721,0.000637602,0.000637602,*,ADH5
ADHFE1,-0.151884353,0.807889133,0.807889133,*,ADHFE1
ADI1,-0.024967986,0.677501654,0.677501654,*,ADI1
ADIPOR1,-0.051223733,0.408664546,0.408664546,*,ADIPOR1
ADIPOR2,-0.105765501,0.194975981,0.194975981,*,ADIPOR2
ADIPOR2-2,-0.18831083,0.105721558,0.105721558,*,ADIPOR2
ADIRF,-0.119073337,0.762546132,0.762546132,*,ADIRF
ADIRF-AS1,0.129467242,0.616898189,0.616898189,*,ADIRF-AS1
ADISSP,0.031705141,0.765547911,0.765547911,*,ADISSP
ADK,0.298890698,0.007045152,0.007045152,*,ADK
ADM,-0.691180778,2.00E-21,2.00E-21,*,ADM
ADM2,0.303963915,0.078287958,0.078287958,*,ADM2
ADM5,-0.036387715,0.987432454,0.987432454,*,ADM5
ADNP,0.154795067,0.05201974,0.05201974,*,ADNP
ADNP2,0.229213426,0.052364409,0.052364409,*,ADNP2
ADNP-AS1,0.719129538,0.436120464,0.436120464,*,ADNP-AS1
ADO,0.05093712,0.684548997,0.684548997,*,ADO
ADORA1,0.23692683,0.684331259,0.684331259,*,ADORA1
ADORA2A,-0.936559431,0.428703003,0.428703003,*,ADORA2A
ADORA2A-AS1,1.7826395,0.659091782,0.659091782,*,ADORA2A-AS1
ADORA2B,-0.378945205,0.036017491,0.036017491,*,ADORA2B
ADORA3,1.396445076,0.676658419,0.676658419,*,ADORA3
ADPGK,-0.160770108,0.040955084,0.040955084,*,ADPGK
ADPGK-AS1,-0.707194275,0.69199779,0.69199779,*,ADPGK-AS1
ADPRH,-0.661079312,0.395103148,0.395103148,*,ADPRH
ADPRHL1,0.342649315,0.254478338,0.254478338,*,ADPRHL1
ADPRM,0.344311403,0.321275986,0.321275986,*,ADPRM
ADPRS,0.115194775,0.242287165,0.242287165,*,ADPRS
ADRA1B,-1.005131122,0.002558196,0.002558196,Down,ADRA1B
ADRA1D,0.516386768,0.205909643,0.205909643,*,ADRA1D
ADRA2B,-1.005262704,0.805404059,0.805404059,*,ADRA2B
ADRA2C,0.132704246,0.901497772,0.901497772,*,ADRA2C
ADRB1,-2.586033194,0.516781675,0.516781675,*,ADRB1
ADRB2,0.032117118,0.833274913,0.833274913,*,ADRB2
ADRM1,0.030383189,0.730064235,0.730064235,*,ADRM1
ADSL,0.053049974,0.4661394,0.4661394,*,ADSL
ADSS1,-0.52971746,0.267713823,0.267713823,*,ADSS1
ADSS2,0.065586335,0.505993191,0.505993191,*,ADSS2
ADTRP,0.937255071,0.262785158,0.262785158,*,ADTRP
AEBP1,-0.201073464,0.024859281,0.024859281,*,AEBP1
AEBP2,0.118643183,0.420539818,0.420539818,*,AEBP2
AEN,0.122089128,0.086761329,0.086761329,*,AEN
AFAP1,-0.022912774,0.699990551,0.699990551,*,AFAP1
AFAP1-AS1,1.532365369,0.433370216,0.433370216,*,AFAP1-AS1
AFAP1L1,0.105990477,0.341034626,0.341034626,*,AFAP1L1
AFAP1L2,-0.434255002,0.749672349,0.749672349,*,AFAP1L2
AFDN,0.274289044,0.012908041,0.012908041,*,AFDN
AFF1,-0.140151265,0.145570953,0.145570953,*,AFF1
AFF1-AS1,-2.126817937,0.075875399,0.075875399,*,AFF1-AS1
AFF2,1.405487063,0.110369436,0.110369436,*,AFF2
AFF3,0.111980837,0.282682027,0.282682027,*,AFF3
AFF4,0.045573207,0.513632533,0.513632533,*,AFF4
AFG1L,0.357884736,0.473730089,0.473730089,*,AFG1L
AFG3L2,0.023416715,0.778953078,0.778953078,*,AFG3L2
AFM,1.7826395,0.659091782,0.659091782,*,AFM
AFMID,-0.22923773,0.107286813,0.107286813,*,AFMID
AFP,-0.716147371,0.411261856,0.411261856,*,AFP
AFTPH,0.090105118,0.652349415,0.652349415,*,AFTPH
AFTPH-DT,-0.514930857,0.764299835,0.764299835,*,AFTPH-DT
AGA,-0.007594548,0.970300147,0.970300147,*,AGA
AGA-DT,-0.090179744,0.945807815,0.945807815,*,AGA-DT
AGAP1,0.019940561,0.820202103,0.820202103,*,AGAP1
AGAP11,-0.153370542,0.858893332,0.858893332,*,AGAP11
AGAP1-IT1,-0.443399888,0.733645152,0.733645152,*,AGAP1-IT1
AGAP2,0.53155277,0.775730444,0.775730444,*,AGAP2
AGAP2-AS1,0.05594633,0.65619392,0.65619392,*,AGAP2-AS1
AGAP3,-0.124427108,0.157841237,0.157841237,*,AGAP3
AGAP4,0.327354412,0.333770459,0.333770459,*,AGAP4
AGAP5,-0.302275837,0.526722845,0.526722845,*,AGAP5
AGAP6,-1.165458948,0.255748291,0.255748291,*,AGAP6
AGAP9,0.119986036,0.865373798,0.865373798,*,AGAP9
AGBL2,1.884145862,0.53035544,0.53035544,*,AGBL2
AGBL2-2,1.884145862,0.53035544,0.53035544,*,AGBL2
AGBL3,-1.446274723,0.112501828,0.112501828,*,AGBL3
AGBL5,-0.192023156,0.144164585,0.144164585,*,AGBL5
AGER,-0.330889784,0.869865949,0.869865949,*,AGER
AGER-3,4.489454516,0.058256937,0.058256937,*,AGER
AGER-4,-3.739617568,0.186337824,0.186337824,*,AGER
AGER-6,2.399434278,0.329663733,0.329663733,*,AGER
AGER-7,0.768732354,0.494687421,0.494687421,*,AGER
AGFG1,-0.043648783,0.643348872,0.643348872,*,AGFG1
AGFG2,-0.146167274,0.380835394,0.380835394,*,AGFG2
AGGF1,-0.033230572,0.847388587,0.847388587,*,AGGF1
