GeneID,logFC,Pvalue,FDR,Up/Down-Regulation,Gene_name
LOC105376520,-0.64290854,0.783030071,0.783030071,*,LOC105376520
LOC105376526,-1.005262704,0.805404059,0.805404059,*,LOC105376526
LOC105376542,-0.043482025,0.991497804,0.991497804,*,LOC105376542
LOC105376567,-0.838799776,0.372558941,0.372558941,*,LOC105376567
LOC105376571,-1.089028148,0.678824513,0.678824513,*,LOC105376571
LOC105376577,-2.53962147,0.195384471,0.195384471,*,LOC105376577
LOC105376577-2,0.967673765,0.738075993,0.738075993,*,LOC105376577
LOC105376601,-0.706825635,0.523238374,0.523238374,*,LOC105376601
LOC105376617,1.906993865,0.636057473,0.636057473,*,LOC105376617
LOC105376626,1.186222991,0.48518995,0.48518995,*,LOC105376626
LOC105376627,1.832040146,0.649906984,0.649906984,*,LOC105376627
LOC105376634,0.322963819,0.567475568,0.567475568,*,LOC105376634
LOC105376644,-1.005262704,0.805404059,0.805404059,*,LOC105376644
LOC105376652,-0.043482025,0.991497804,0.991497804,*,LOC105376652
LOC105376661,0.511737407,0.867777256,0.867777256,*,LOC105376661
LOC105376675,-0.244819371,0.869549824,0.869549824,*,LOC105376675
LOC105376704,0.165601674,0.705744138,0.705744138,*,LOC105376704
LOC105376704-2,0.789667891,0.359623533,0.359623533,*,LOC105376704
LOC105376704-3,4.449064988,0.09644795,0.09644795,*,LOC105376704
LOC105376709,-1.005262704,0.805404059,0.805404059,*,LOC105376709
LOC105376710,-0.524294014,0.291575644,0.291575644,*,LOC105376710
LOC105376713,0.945190702,0.814360322,0.814360322,*,LOC105376713
LOC105376718,-0.353951383,0.660902191,0.660902191,*,LOC105376718
LOC105376722,-1.815943865,0.311419318,0.311419318,*,LOC105376722
LOC105376781,-0.148244157,0.837866733,0.837866733,*,LOC105376781
LOC105376805,-0.752841198,0.489668484,0.489668484,*,LOC105376805
LOC105376805-2,-0.331343122,0.746673871,0.746673871,*,LOC105376805
LOC105376806,-0.917799888,0.820101059,0.820101059,*,LOC105376806
LOC105376806-2,-0.917799888,0.820101059,0.820101059,*,LOC105376806
LOC105376810,0.88404096,0.64138105,0.64138105,*,LOC105376810
LOC105376819,-2.222622421,0.441425186,0.441425186,*,LOC105376819
LOC105376844,2.336228069,0.559038019,0.559038019,*,LOC105376844
LOC105376845,-0.731651228,0.751500988,0.751500988,*,LOC105376845
