GeneID,Con_1,Con_2,Con_3,DMEM_1,DMEM_2,DMEM_3,logFC,Pvalue,FDR,I6_1,I6_2,I6_3,logFC,Pvalue,FDR,R2_1,R2_2,R2_3,logFC,Pvalue,FDR
SAMHD1,22.28,26.04,22.94,29.93,28.4,31.76,-0.265665326,0.000357295,0.000357295,32.15,31.08,29.97,0.317675952,2.72E-06,2.72E-06,30.94,27.16,28.78,-0.071358002,0.246222862,0.246222862
TBC1D3K,0.08,0.56,0,0.05,0,0.08,2.474581298,0.149023848,0.149023848,0.02,0.11,0.05,-1.986318839,0.195481099,0.195481099,0,0.07,0,-1.248801219,0.499829367,0.499829367
LCN12,0.03,0.01,0,0.02,0.05,0.06,-1.440955692,0.48244315,0.48244315,0.09,0.06,0.03,1.457016862,0.473770832,0.473770832,0,0,0,-3.394856666,0.187726572,0.187726572
ANKS1B,0.04,0.09,0.02,0.14,0.24,0.05,-0.467676041,0.6435188,0.6435188,0,0.02,0.04,-1.300386548,0.383490404,0.383490404,0.02,0.03,0.03,0.745658231,0.602742282,0.602742282
MAPK3,32.87,26.61,29.42,23.14,22.26,23.44,0.465116184,0.000146989,0.000146989,20.02,20.27,23.51,-0.54327073,2.43E-05,2.43E-05,23.58,24.81,22.99,0.212970054,0.048980691,0.048980691
ARID5A,6.74,6.45,7.72,4.43,5.65,3.33,0.694323372,0.002888859,0.002888859,3.51,4.81,5.52,-0.667845179,0.003191446,0.003191446,4.77,5.05,5.05,0.16353236,0.423270737,0.423270737
ADAMTS16,3.43,3.99,2.95,4.08,4.17,4.16,-0.14923398,0.383981087,0.383981087,4.43,4.39,3.94,0.173696195,0.312341931,0.312341931,3.24,3.85,3.61,-0.211974854,0.141176028,0.141176028
TPRA1,37.25,29.76,34.65,25.5,26.49,26.16,0.40688343,0.001009591,0.001009591,27.91,27.77,27.39,-0.367656189,0.002865196,0.002865196,27.09,27.99,28.21,0.046261827,0.480375912,0.480375912
NUAK2,3.37,3.24,3.62,4.12,4.24,3.88,-0.20776794,0.222662866,0.222662866,2.86,3.41,4.19,-0.074078872,0.716387664,0.716387664,3.84,3.53,3.67,0.157194883,0.352361216,0.352361216
TIA1,2.6,6.65,3.1,4.18,4.22,4.9,-0.21886131,0.579449516,0.579449516,5.24,4.95,3.79,0.168389016,0.67012444,0.67012444,3.5,2.37,3.25,-0.558738958,0.000460387,0.000460387
MFAP3,4.86,6.77,5,7.92,7.54,8.25,-0.43970481,0.001162196,0.001162196,7.86,7.29,7.66,0.388794553,0.003799739,0.003799739,6.72,5.34,5.69,-0.3376942,0.002232947,0.002232947
LAIR2-3,0.07,0.04,0.14,0.04,0.04,0,3.039406728,0.338741384,0.338741384,0,0.04,0.08,-3.019210196,0.338650862,0.338650862,0.075,0.075,0.075,0.075,0.075,0.075
NAALADL2-2,0.34,0,0,0,0,0,1.13719805,0.780480655,0.780480655,0,0,0,-1.117083236,0.784266619,0.784266619,0,0,0,0,0,0
TOR1A,46.72,48.76,46.57,47.65,47.57,49.51,0.054544241,0.41423192,0.41423192,48.01,45.39,44.92,-0.115431283,0.09754965,0.09754965,48.4,56.74,52.87,0.22657735,0.003100749,0.003100749
RPS6KA1-2,11.94,10.63,11.06,9.13,8.57,10.22,0.357136098,0.007458353,0.007458353,8.77,8.98,8.72,-0.423947012,0.000416408,0.000416408,10.31,11.65,10.72,0.331213998,0.00044387,0.00044387
SDC1,45.3,43.31,45.99,35.24,37.23,34.07,0.418255742,9.60E-07,9.60E-07,39.56,39.34,38.23,-0.275866894,0.000513723,0.000513723,41.37,41.63,41.84,0.117850662,0.008655094,0.008655094
RMDN2,1.19,1.63,1.67,1.66,1.75,1.28,0.018692557,0.961333396,0.961333396,1.47,1.5,1.47,-0.157257789,0.673846338,0.673846338,1.09,1.69,1.08,-0.165733105,0.642848928,0.642848928
SYCP2,0.01,0.03,0,0.08,0.02,0.11,-1.755077328,0.236165208,0.236165208,0.01,0.01,0.05,0.195246211,0.916863879,0.916863879,0,0.06,0.04,0.515974011,0.746335823,0.746335823
PTDSS1,46.55,50.54,50.16,45.61,46.32,45.16,0.179856556,0.001339085,0.001339085,51.89,52.15,51.35,0.008600695,0.87505449,0.87505449,54.02,55.46,54.96,0.10387354,0.001576651,0.001576651
FBXO36,0.57,0.93,0.5,0.92,0.92,0.75,-0.300377657,0.464551964,0.464551964,0.67,0.53,0.47,-0.322255191,0.478168864,0.478168864,0.56,0.6,0.59,0.084014796,0.828661642,0.828661642
CCDC184,0.02,0.02,0.26,0,0,0.04,2.908919984,0.178977762,0.178977762,0.02,0.07,0.05,-1.24467219,0.426502129,0.426502129,0.02,0.05,0,-0.976125971,0.588125647,0.588125647
PDIA3,90.99,90.33,98.76,118.36,123.15,115.04,-0.268685676,0.000432092,0.000432092,120.48,119.26,120.03,0.288573825,8.13E-05,8.13E-05,113.73,111.51,113.06,-0.06415966,0.015133199,0.015133199
LY6G5B-3,1.02,0.82,0.56,0.63,0.54,0.7,0.434212629,0.316092663,0.316092663,0.87,1.19,1.16,0.371620034,0.345860942,0.345860942,0.88,0.43,0.59,-0.74212203,0.055605386,0.055605386
TMEM130,0,0.02,0.04,0.1,0.04,0.14,-2.27378835,0.150627805,0.150627805,0.09,0.02,0,0.77261364,0.740246144,0.740246144,0,0.11,0.02,0.277845325,0.891479428,0.891479428
RND3,10.87,14.88,10.1,18.11,17.25,19.35,-0.535860322,0.000254375,0.000254375,16.5,16.71,17.48,0.431327319,0.002602523,0.002602523,13.23,9.83,11.83,-0.514923779,1.34E-05,1.34E-05
TRA2B,29.66,32.39,28.65,34.45,32.99,33.9,-0.082462304,0.171936819,0.171936819,34.19,34.74,32.63,0.093869651,0.129807319,0.129807319,31.27,30.13,31.52,-0.105427184,0.029327026,0.029327026
GALNT14,0.2,0.17,0.2,0.14,0.1,0.23,0.254898434,0.771391147,0.771391147,0.11,0.22,0.3,0.157583755,0.848847294,0.848847294,0.38,0.23,0.3,0.441161289,0.533091978,0.533091978
