GeneID,Con_1,Con_2,Con_3,DMEM_1,DMEM_2,DMEM_3,logFC,Pvalue,FDR,I6_1,I6_2,I6_3,logFC,Pvalue,FDR,R2_1,R2_2,R2_3,logFC,Pvalue,FDR
PCDH19,0,0.02,0,0,0,0,2.888729499,0.46794297,0.46794297,0,0,0,-2.866211923,0.471433674,0.471433674,0,0,0,0,0,0
CKAP2,14.48,22.96,14.06,26.94,24.22,29.27,-0.551819097,0.000779441,0.000779441,22.78,23.62,23.88,0.401244249,0.010898907,0.010898907,21.36,14.68,18.72,-0.363995073,0.001857175,0.001857175
CTNND2,0,0,0,0.01,0,0.01,-1.64507173,0.683954314,0.683954314,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CEACAM6,0.04,0.02,0.14,0.1,0.18,0,-0.330909858,0.837612001,0.837612001,0.06,0.02,0,-1.423200413,0.426447654,0.426447654,0.02,0,0.02,-0.931196609,0.695605582,0.695605582
PYROXD1,1.13,2.18,1.06,1.95,1.81,2.15,-0.290538322,0.280959177,0.280959177,1.45,1.33,1.44,-0.04196601,0.882995364,0.882995364,1.29,1.8,1.03,-0.497100757,0.046670536,0.046670536
RNF113B,0,0.21,0,0,0,0,3.208475368,0.418455893,0.418455893,0,0,0,-3.185916762,0.42174811,0.42174811,0,0,0,0,0,0
MBOAT7-5,10.45,0,5.32,2.14,3.23,2.52,1.148802452,0.538906507,0.538906507,2.6,0,0,-2.989515692,0.422682636,0.422682636,0,7.16,0.09,1.753549825,0.638191615,0.638191615
CELF5,0.08,0.14,0.03,0.15,0.08,0.21,-0.139757697,0.882636437,0.882636437,0.19,0.15,0,-0.941948885,0.470586543,0.470586543,0.11,0.07,0.04,0.269628052,0.832111653,0.832111653
ZNF550,0.64,1.05,0.77,1.01,1.32,0.85,-0.193991289,0.548080899,0.548080899,0.82,1.18,1.42,0.335191644,0.31536397,0.31536397,0.78,0.79,0.7,-0.474060622,0.077926061,0.077926061
RPL34,1375.37,1033.42,1165.77,785.05,816.73,751.87,0.723440002,3.17E-09,3.17E-09,723,708.14,699.31,-0.87048859,1.45E-13,1.45E-13,829.92,943.62,886.61,0.441326913,8.33E-10,8.33E-10
ZNF385D,0,0.03,0,0.01,0.01,0,1.587602015,0.587522675,0.587522675,0.02,0.02,0.02,0.198188939,0.923294907,0.923294907,0,0,0,-1.777889357,0.327940306,0.327940306
MRM1,9.24,7.87,10.12,7.69,7.47,7.55,0.350284191,0.053451312,0.053451312,6.4,6.68,7.03,-0.516325732,0.005713949,0.005713949,7.53,8.41,7.81,0.262810498,0.068813258,0.068813258
ANKRD7,0.37,0.18,0.05,0.22,0.09,0.21,0.286637619,0.816975094,0.816975094,0.04,0.09,0.14,-1.237299982,0.376615503,0.376615503,0,0.09,0.05,-0.986672714,0.584143409,0.584143409
SEMA6B,24.4,19.13,24.35,16.49,16.07,17,0.534527909,0.000135124,0.000135124,16.27,15.98,16.42,-0.559622768,6.58E-05,6.58E-05,17.42,17.56,17.18,0.118908155,0.047685628,0.047685628
NBR1,22.73,24.88,22.27,30.06,28.9,31.08,-0.292377432,6.38E-06,6.38E-06,31.21,30.97,30.62,0.341543435,2.69E-09,2.69E-09,26.8,25.34,25.78,-0.221862878,1.88E-06,1.88E-06
CASC15,0.03,0,0,0,0,0,2.04605018,0.612272264,0.612272264,0,0,0,-2.025303345,0.61588933,0.61588933,0,0,0,0,0,0
RPL11,813.75,818.27,810.28,858.2,892.9,835.22,0.004882275,0.937862795,0.937862795,815.12,809.11,834.62,-0.115395328,0.056219872,0.056219872,862.03,901.66,878.32,0.202709209,1.36E-06,1.36E-06
JAK1,17.72,19.69,18.79,26.61,26.86,27.05,-0.432054957,1.38E-12,1.38E-12,25.98,25.26,24.23,0.351414931,5.66E-08,5.66E-08,23.35,21.27,22.73,-0.143589726,0.011210745,0.011210745
DOCK9-DT,0.03,0.03,0.29,0.4,0.18,0.48,-1.510268904,0.198161286,0.198161286,0.44,0.18,0,0.717023862,0.66359596,0.66359596,0.2,0.08,0.29,-0.141987669,0.912325014,0.912325014
CORO7-PAM16-2,0.09,0.66,0.24,0.2,0.17,0.14,1.014602857,0.237366693,0.237366693,0,0.05,0.06,-3.393984972,0.004695916,0.004695916,0.63,0.07,0.34,3.465310678,0.002449126,0.002449126
FUT10,2.08,3.07,2.06,2.7,2.83,2.67,0.040102595,0.913064349,0.913064349,2.62,2.83,3.68,0.152038414,0.677864855,0.677864855,2.84,2.2,2.31,-0.501683616,0.001065934,0.001065934
ASB9,5.93,5.56,6.49,5.16,5.53,4.92,0.289561795,0.129479083,0.129479083,5.04,4.58,4.7,-0.440967364,0.022706226,0.022706226,5.13,5.25,5.27,0.194715262,0.265329309,0.265329309
TRIM39-4,0.63,0.5,0.47,0.48,0.75,0.45,0.094362,0.835150109,0.835150109,0.46,0.63,0.66,-0.096419836,0.816101209,0.816101209,0.62,0.66,0.41,0.093443102,0.807585681,0.807585681
PRKAB2,1.75,2.09,1.83,2.49,2.32,2.65,-0.330312029,0.041473553,0.041473553,2.44,2.52,2.31,0.283660629,0.073115135,0.073115135,2.15,2.14,2.34,-0.095744085,0.488585302,0.488585302
EXOC4,12.02,12.07,10.58,15.23,14.27,14.93,-0.241847064,0.010312454,0.010312454,15.3,14.39,12.83,0.283917812,0.005519175,0.005519175,14.13,13.24,13.28,-0.124554042,0.118493482,0.118493482
TFAP2A,2.41,2.65,3.19,3.65,3.16,3.98,-0.318149739,0.115196732,0.115196732,3.96,3.69,3.36,0.388057537,0.050606801,0.050606801,2.54,2.72,2.53,-0.488763757,0.001196304,0.001196304
PTDSS2,38.65,33.74,37,28.74,26.99,28.75,0.44591788,5.89E-05,5.89E-05,29.9,29.83,28.86,-0.389017688,0.000411094,0.000411094,29.36,28.59,29.06,0.013407457,0.825809152,0.825809152
CCRL2,20.7,21.26,21.87,22.34,23.63,21.47,0.020989994,0.848272369,0.848272369,23.99,24.09,22.53,0.058651506,0.568735623,0.568735623,24.63,27.55,26.66,0.191785606,0.028588054,0.028588054
PAQR7,12.64,12.07,12.78,11.28,10.78,11.06,0.268405384,0.010336211,0.010336211,10.28,10.57,9.8,-0.36753914,0.000543475,0.000543475,11.7,10.42,10.47,0.137701745,0.167799287,0.167799287
MAN1C1,1.05,0.91,0.52,1.01,1.26,0.73,-0.233246739,0.536233264,0.536233264,1.16,0.95,1.36,0.242738083,0.521389317,0.521389317,0.78,1.08,0.78,-0.211923528,0.524948823,0.524948823
LRRC15,0.26,0.26,0.39,0.37,0.36,0.4,-0.227605675,0.561964092,0.561964092,0.52,0.4,0.33,0.391534116,0.340912385,0.340912385,0.29,0.33,0.23,-0.555078155,0.131356169,0.131356169
ZNF821,1.98,2.37,2.19,2.92,2.84,1.82,0.212822389,0.558767423,0.558767423,2.58,2.55,2.6,0.197268493,0.503078868,0.503078868,2.49,2.49,2.59,-0.311844494,0.223787116,0.223787116
CEMIP2,7.76,8.8,7.55,11.78,11.25,11.65,-0.453608823,1.39E-08,1.39E-08,12.63,13.41,13.9,0.659786596,4.89E-15,4.89E-15,10.66,8.87,9.88,-0.416417981,1.21E-06,1.21E-06
DDIT4L,0.1,0.32,0.21,0.34,0.25,0.32,-0.460044859,0.521262381,0.521262381,0.14,0.2,0.5,0.342059674,0.687019184,0.687019184,0.31,0.14,0.26,-0.209886844,0.779987831,0.779987831
RBM15B,20.18,19.97,19.73,19.79,19.6,20.14,0.084080758,0.203139154,0.203139154,19.97,21.02,21.92,-0.000840404,0.990707279,0.990707279,21.84,22.38,22.28,0.106310869,0.034399599,0.034399599
CFAP45,0.52,0.92,0.54,0.62,0.47,0.78,0.162351096,0.767892458,0.767892458,0.81,0.63,0.55,-0.069238612,0.895890457,0.895890457,0.55,0.64,0.51,-0.195522498,0.682289031,0.682289031
SOX12,6.19,5.41,6.93,5.44,5.97,4.93,0.263036381,0.106847835,0.106847835,5.04,5.2,5.6,-0.30056492,0.053972977,0.053972977,5.79,6.07,5.9,0.189014836,0.055411627,0.055411627
RIMBP2,0,0.04,0.03,0.04,0,0.08,-0.403912968,0.838564515,0.838564515,0.03,0.06,0.05,0.472819009,0.765738133,0.765738133,0.03,0.16,0.12,1.246629284,0.247320163,0.247320163
KICS2,0.9,1.01,0.74,0.87,0.88,1,-0.096959122,0.749941384,0.749941384,0.74,0.96,1.32,0.221471546,0.508808728,0.508808728,1.01,1.17,1.17,0.070962168,0.804518272,0.804518272
ALDH18A1,46.81,46.76,50.65,47.75,48,48.45,0.078387159,0.307665724,0.307665724,50.34,49.88,48.07,-0.031805892,0.685214989,0.685214989,51.96,54.77,51.31,0.11440007,0.015678062,0.015678062
PNPLA7,0.3,0.34,0.32,0.21,0.27,0.15,0.649297373,0.181908144,0.181908144,0.4,0.35,0.27,0.017114457,0.967490353,0.967490353,0.11,0.32,0.18,-0.697703165,0.177290933,0.177290933
PCDHGA12,0.04,0.02,0,0,0,0.02,1.621423704,0.627723793,0.627723793,0,0.02,0.02,-0.689965293,0.793997143,0.793997143,0,0,0,-1.845907733,0.64740178,0.64740178
TMPRSS3,0.34,0.23,0.26,0.45,0.58,0.39,-0.569135076,0.451373109,0.451373109,0.22,0.28,0.52,-0.008025937,0.992560327,0.992560327,0.19,0.45,0.27,-0.180627127,0.830008895,0.830008895
BCAP29-2,18.89,12.38,15.34,12.68,11.94,13.57,0.628563545,0.068006394,0.068006394,15.61,7.89,10.08,-0.350939897,0.337276897,0.337276897,20.62,13.25,19.4,0.833398357,0.075492176,0.075492176
ABCC4,4.42,5.78,4.17,7.06,6.27,7.47,-0.480367528,0.003102104,0.003102104,6.61,7.05,7.04,0.460723016,0.002969606,0.002969606,5.97,5.13,5.62,-0.272410183,0.003621678,0.003621678
TICAM1,10.31,9.44,10.23,7.65,8.47,6.75,0.480982268,0.001370409,0.001370409,9.52,9.46,9.22,-0.172979077,0.173086423,0.173086423,8.02,7.93,7.89,-0.204359497,0.042732263,0.042732263
MED18,5.55,5.26,5.89,5.48,4.88,5.66,0.138974284,0.469199935,0.469199935,5.08,4.5,3.88,-0.391924661,0.06272163,0.06272163,5.58,4.53,4.88,0.19426963,0.319955914,0.319955914
SEL1L3,1.07,0.9,1.2,1.09,1.01,1.51,-0.073779934,0.806488411,0.806488411,1.27,1.37,1.55,0.286453648,0.272567856,0.272567856,1.29,1,1.1,-0.241735604,0.264242425,0.264242425
NOL3,22.46,20.56,23.33,16.96,16.9,16.57,0.469992128,7.61E-05,7.61E-05,18.09,16.19,14.53,-0.492261046,0.000326369,0.000326369,19.35,16.56,17.6,0.161373455,0.197314927,0.197314927
PCDHB2,0.3,0.23,0.22,0.33,0.34,0.3,-0.290551612,0.557051722,0.557051722,0.33,0.34,0.27,0.232045833,0.643169179,0.643169179,0.24,0.29,0.27,-0.190312033,0.664900893,0.664900893
YPEL4,0.01,0.33,0.04,0.08,0.04,0.1,0.496658406,0.720636837,0.720636837,0.12,0.13,0.04,-0.239828953,0.858093688,0.858093688,0.27,0.2,0.2,1.211029445,0.1082229,0.1082229
MBNL2,4.59,7.7,4.42,8.76,8.5,9.24,-0.6222623,0.001566365,0.001566365,9.01,8.75,9.13,0.645295067,0.00089213,0.00089213,7.18,6.04,6.65,-0.42079511,9.32E-06,9.32E-06
FAN1-3,0.79,0.55,0.31,0.67,0.59,0.58,-0.355825211,0.486080113,0.486080113,0.46,0.44,0.71,0.079747719,0.881562245,0.881562245,0.47,0.28,0.4,-0.328329424,0.459955548,0.459955548
INF2,72.75,60.06,68.17,54.21,54.11,53.37,0.332506779,0.000816854,0.000816854,56.89,55.98,57.67,-0.295974132,0.003185778,0.003185778,53.75,55.65,54.02,-0.034922583,0.394882263,0.394882263
PCDHB14-2,0.2,0.34,0.15,0.28,0.23,0.26,-0.08551447,0.8792949,0.8792949,0.45,0.39,0.33,0.73081094,0.157723575,0.157723575,0.3,0.34,0.33,-0.267368668,0.48861328,0.48861328
CASTOR2,1.98,1.75,1.61,1.94,1.97,1.73,0.001708221,0.991792015,0.991792015,1.99,2.03,2.04,0.11106028,0.475892669,0.475892669,1.93,2.09,1.95,0.000665333,0.995466271,0.995466271
TMEM51,11.6,9.96,10.15,10.43,10.03,10.1,0.128319732,0.392490417,0.392490417,9.97,9.92,9.57,-0.228364845,0.132359786,0.132359786,8.87,10.76,10.07,0.10790534,0.421278173,0.421278173
RGL4,1.25,2.22,1.34,0.86,0.72,0.79,1.030417492,0.012633395,0.012633395,1.46,1.45,1.57,-0.197304544,0.595593204,0.595593204,1.3,1.34,1.77,0.08721537,0.782185272,0.782185272
AARS1,47.79,45.3,49.88,47.01,47.64,47.68,0.061999303,0.404013241,0.404013241,47.81,47.64,47.48,-0.050329205,0.499507422,0.499507422,53.54,52.22,52.69,0.140586595,0.000249685,0.000249685
COL23A1,0,0,0.06,0,0,0,2.747795391,0.490739702,0.490739702,0,0,0,-2.730738753,0.49341834,0.49341834,0,0,0,0,0,0
SPANXN5,0.27,0.13,0.15,0,0,0,3.039406728,0.338741384,0.338741384,0,0,0,-3.019210196,0.338650862,0.338650862,0,0.12,0,0.995098905,0.807332645,0.807332645
CCND1,170.81,172.54,168,214.27,211.33,214.83,-0.246343123,4.65E-07,4.65E-07,217.18,214.62,211.19,0.259468667,1.66E-07,1.66E-07,202.72,194.57,197.83,-0.088082093,0.000500329,0.000500329
KLHL12,5.41,5.9,5.55,6.74,6.71,6.72,-0.186921776,0.120396655,0.120396655,7.79,7.98,7.64,0.39953224,0.000599924,0.000599924,6.81,6.71,6.46,-0.186622635,0.060200841,0.060200841
LRSAM1,6.9,7.65,7.88,6.9,6.61,7.17,0.186189558,0.143064164,0.143064164,7.4,7.45,7.13,-0.121381062,0.326512979,0.326512979,6.77,7.09,6.84,-0.019141347,0.849544391,0.849544391
SRRM2,50.33,48.81,52.88,60.75,57.79,62.04,-0.159348455,0.038395313,0.038395313,64.04,65.04,64.63,0.274331405,0.000282616,0.000282616,57.56,56.48,56.59,-0.152928181,3.70E-09,3.70E-09
NIPA2,20.98,27.71,25.55,31.06,32.79,32.37,-0.299601138,0.001777612,0.001777612,34.9,33.77,32.7,0.386174822,4.61E-05,4.61E-05,33.24,31.44,31.27,-0.057689224,0.292629132,0.292629132
MBD4,6.2,8.78,7.88,9.42,10.02,9.67,-0.25004747,0.116111568,0.116111568,8.95,8.98,9.47,0.200606915,0.204047931,0.204047931,8.41,7.95,7.96,-0.183923261,0.093962414,0.093962414
SLC7A9,0,0,0.08,0,0,0,2.157468615,0.592168601,0.592168601,0.07,0.27,0.21,1.763125054,0.416689941,0.416689941,0.07,0.07,0,-1.394639198,0.416115998,0.416115998
IL10RA,0.17,0.14,0.13,0.07,0.07,0.05,1.310729812,0.118006141,0.118006141,0.12,0.07,0.04,-1.025997857,0.226721126,0.226721126,0.07,0.07,0.06,-0.234244983,0.804989515,0.804989515
IER3-2,20.52,22.13,21.16,18.06,21.51,16.45,0.275296882,0.072239266,0.072239266,21.04,20.4,20.5,-0.130940682,0.25835303,0.25835303,19.56,19.39,19.63,-0.029498997,0.777463813,0.777463813
VGLL3,0.31,0.62,0.34,0.95,0.72,1.13,-1.06743216,0.001073529,0.001073529,0.78,0.75,0.8,0.818564348,0.006120541,0.006120541,0.49,0.3,0.41,-0.939446532,8.88E-05,8.88E-05
HCP5B,0,0.12,0,0,0,0,2.888729499,0.46794297,0.46794297,0,0,0,-2.866211923,0.471433674,0.471433674,0,0,0,0,0,0
SMPDL3B,0.58,0.68,0.61,0.49,0.63,0.74,0.080532527,0.877726009,0.877726009,0.85,0.88,0.85,0.397489148,0.391638352,0.391638352,0.81,0.63,0.62,-0.285787612,0.497754158,0.497754158
HCG18-3,1.33,1.24,0,0,1.08,0,1.079616184,0.772092393,0.772092393,0,0,0,-9.341859417,0.016816643,0.016816643,0.04,0,0,1.905412804,0.636891729,0.636891729
GFM1,9.16,10.62,9.67,12.65,11.76,15.02,-0.356662229,0.002558886,0.002558886,14.42,13.81,14.72,0.491200507,2.83E-06,2.83E-06,12.66,8.9,11.2,-0.475923789,2.32E-06,2.32E-06
CCNL2,10.61,14.16,11.18,9.68,9.12,9.86,0.268217463,0.029200444,0.029200444,10.82,11.73,12.14,-0.102857228,0.389234235,0.389234235,10.84,11.95,10.57,0.02524388,0.765589338,0.765589338
CDHR3,0.01,0.05,0.03,0.01,0.01,0.02,0.895450092,0.535129412,0.535129412,0.04,0.02,0,-0.465104443,0.770422347,0.770422347,0.04,0.03,0.05,1.056222216,0.396568617,0.396568617
TRIM50,0.04,0,0,0.03,0.07,0,-1.3543086,0.686328871,0.686328871,0,0,0,-1.117083236,0.784266619,0.784266619,0.015,0.015,0.015,0.015,0.015,0.015
SMTNL1,0,0.1,0,0.03,0.03,0,0.594328253,0.854224181,0.854224181,0,0,0,-2.454720262,0.539822093,0.539822093,0.03,0.03,0.03,0.03,0.03,0.03
CREG1,34,31.37,30.53,38.67,38.76,38.79,-0.193121512,0.040062104,0.040062104,35.48,34.61,34.48,0.044944695,0.637493145,0.637493145,34.09,30.2,32.12,-0.082590584,0.238883349,0.238883349
ATP13A1,35.27,30.57,35.21,28.08,26.63,28.26,0.365238473,0.000570687,0.000570687,27.47,28.72,29.56,-0.316565957,0.003112718,0.003112718,28.1,27.35,26.98,-0.024015646,0.652587428,0.652587428
SLC39A13,64.3,54.88,59.26,46,48.48,43.9,0.448014997,4.93E-05,4.93E-05,40.49,44.29,48.16,-0.50986313,3.07E-06,3.07E-06,47.15,51.38,48.07,0.142569125,0.040137156,0.040137156
GALK2,3.32,4.04,3.55,3.36,3.56,3.26,0.33147447,0.075805276,0.075805276,3.17,3.42,3.12,-0.318174083,0.089858708,0.089858708,3.33,3.58,3.37,0.012705772,0.941174926,0.941174926
ZNF266,3.56,4.95,3.81,6.77,7.03,6.58,-0.619175131,7.92E-05,7.92E-05,7.9,8.06,8.6,0.909574475,1.53E-09,1.53E-09,5.25,5.39,5.34,-0.608314213,1.78E-09,1.78E-09
OR7C1,0,0.04,0,0,0,0.02,0.936861124,0.817093369,0.817093369,0,0,0.02,-0.914516054,0.8213914,0.8213914,0,0,0,-0.928454447,0.820006984,0.820006984
ATP6V1G2-DDX39B-4,1.59,1.04,0.72,0.78,0.57,0.67,0.893540009,0.158582912,0.158582912,1.72,1.33,1.16,0.204264903,0.7062565,0.7062565,1.21,1.7,1.35,0.106964689,0.800708182,0.800708182
TAP1-3,10.2,9.6,9.92,8.87,8.87,8.56,0.294156425,0.017582177,0.017582177,8.42,8.21,8.09,-0.345098487,0.005715281,0.005715281,8.61,8.93,8.78,0.090430275,0.390167606,0.390167606
PRODH2,0,0.04,0,0,0,0,1.13719805,0.780480655,0.780480655,0,0,0,-1.117083236,0.784266619,0.784266619,0,0,0,0,0,0
GPR45,0,0.03,0.07,0.1,0.03,0.09,-0.998125435,0.595790665,0.595790665,0.03,0.03,0,-0.797802871,0.76188979,0.76188979,0.03,0,0.03,0.057602776,0.98258584,0.98258584
SREK1,3.26,8.44,2.77,5.81,5.78,7.03,-0.295880534,0.574657244,0.574657244,6.3,7.13,7.72,0.228636122,0.660490732,0.660490732,4.09,3.42,3.26,-0.458696491,0.001162927,0.001162927
CAPN10,6.16,4.89,5.26,4.66,4.75,4.26,0.357175763,0.061567495,0.061567495,4.19,4.32,4.53,-0.413651361,0.027973092,0.027973092,3.88,4.02,4.1,-0.090353739,0.544677113,0.544677113
SDCBP2,0.12,0.28,0.53,0.12,0,0.11,2.549360449,0.080788265,0.080788265,0.17,0.22,0.08,-1.193387594,0.319286372,0.319286372,0,0.25,0.12,-0.114601411,0.937868928,0.937868928
ZNF836,0.48,0.79,0.54,0.85,0.73,0.87,-0.360660134,0.290899927,0.290899927,0.96,1.03,1.11,0.709346507,0.026214689,0.026214689,0.89,0.8,0.82,-0.282307399,0.248896489,0.248896489
PRKAR2A,20.15,23.36,22.56,27.14,25.99,27.18,-0.226958225,0.000138032,0.000138032,30.07,29.91,31.37,0.409063645,1.75E-12,1.75E-12,28.28,29.86,29.18,-0.050332593,0.258333347,0.258333347
MCPH1-3,0.27,0,0,0,0,0,5.747664825,0.068550771,0.068550771,0,0,0,-5.726795807,0.070903248,0.070903248,0,0,0,0,0,0
MED31,63.86,63.66,73.71,47,49.7,49.44,0.568206976,2.67E-05,2.67E-05,60.85,56.11,44.31,-0.44871719,0.005420512,0.005420512,62.55,63.49,66.54,0.358876365,0.007425987,0.007425987
CTBP2,18.88,21.42,17.89,22.46,22.11,21.85,-0.100998619,0.205581975,0.205581975,24.04,23.99,23.08,0.162537036,0.036222743,0.036222743,22.73,22.17,22.69,-0.006112831,0.90570956,0.90570956
FEN1,132.16,125.55,128.57,127.09,126.9,126.8,0.104537562,0.133200091,0.133200091,136.68,132.34,127.88,-0.040511716,0.576983794,0.576983794,137.1,147.86,143.8,0.146206858,0.002083368,0.002083368
TJP2,30.64,33.57,33.91,41.42,40.86,42.28,-0.257288717,7.71E-05,7.71E-05,44.43,44.87,43.85,0.354616279,1.88E-08,1.88E-08,41.83,39.78,40.73,-0.094571697,0.015174619,0.015174619
CNIH3,5.02,5.06,4.13,4.29,4.17,4,0.272713007,0.120358677,0.120358677,4.3,5.07,5.66,-0.050987847,0.783086385,0.783086385,4.23,4.48,4.53,-0.097503535,0.55694651,0.55694651
VPS13D,1.15,1.41,1.07,2.18,2.02,2.2,-0.740991787,4.38E-09,4.38E-09,2.2,2.07,1.95,0.712471032,3.31E-08,3.31E-08,1.57,1.46,1.52,-0.432569228,7.70E-06,7.70E-06
SKIC2-6,8.2,7.32,8.09,6.97,7.02,7.03,0.232226562,0.074840957,0.074840957,7.21,7.25,7.05,-0.192567047,0.138524725,0.138524725,7.55,6.8,7.22,0.028356341,0.767832584,0.767832584
TP53I3,21.76,23.14,25.43,16.68,15.61,19.36,0.564246811,6.72E-05,6.72E-05,19.34,16.65,15.99,-0.537048791,0.000185679,0.000185679,22.01,18.82,20.84,0.351055034,0.003950309,0.003950309
DNAJB14,5.74,11.21,4.49,9.65,9.39,11.14,-0.448303328,0.05944436,0.05944436,4.59,9.09,13.71,0.274581911,0.239461716,0.239461716,10.55,9.67,10.79,-0.48412117,0.000480781,0.000480781
POU3F1,0,0,0,0,0,0.02,-0.786355302,0.847184675,0.847184675,0.07,0.02,0.02,3.265991503,0.264706384,0.264706384,0,0.03,0,-1.54208989,0.482799311,0.482799311
DCLRE1B,9.61,10.5,10.42,11.33,12.51,10.79,-0.099863895,0.344603827,0.344603827,12.89,13.17,12.98,0.274416343,0.001930628,0.001930628,12.91,12.77,12.67,0.006511633,0.924760158,0.924760158
EGFL8,0.17,0,0,0,0,0,2.631454029,0.509992183,0.509992183,0,0,0.14,-0.119608416,0.974457468,0.974457468,0,0,0,-2.457399988,0.53814512,0.53814512
ZNF528,2.87,3.94,2.82,4.08,4.91,4.21,-0.302686059,0.169321903,0.169321903,3.95,3.56,3.64,0.190038194,0.388309423,0.388309423,4.29,4.16,4.02,-0.001997125,0.989832205,0.989832205
ZNF695,1.15,0.96,1.01,0.89,0.64,1.07,-0.031475104,0.932235058,0.932235058,1.26,1.41,1.38,-0.095595453,0.791993745,0.791993745,1.18,0.67,0.79,-0.974420411,0.016977626,0.016977626
ASB17,0,0.06,0,0,0,0,1.13719805,0.780480655,0.780480655,0,0,0,-1.117083236,0.784266619,0.784266619,0,0,0,0,0,0
TAS2R20,0,0.07,0,0.01,0.01,0.01,2.477173484,0.536103595,0.536103595,0,0.01,0.02,-1.492938916,0.70924441,0.70924441,0,0.06,0.03,1.504931897,0.619628152,0.619628152
GLT8D1,17.8,20.82,19.99,26.04,26.52,26.59,-0.386757739,3.59E-05,3.59E-05,25.04,27.47,28.17,0.408426744,2.90E-05,2.90E-05,22.23,22.3,22.45,-0.241553392,0.002144963,0.002144963
KLK6,0,0,0.05,0,0,0,1.13719805,0.780480655,0.780480655,0,0,0,-1.117083236,0.784266619,0.784266619,0,0,0,0,0,0
PPP5C,93.92,98.42,106.98,87.63,90.45,85.56,0.265618532,0.000899923,0.000899923,86.25,89.51,95.06,-0.222147977,0.008849049,0.008849049,95.25,97.39,97.69,0.133585537,0.008296978,0.008296978
DCAF13,20.56,20.9,21.04,21.46,19.8,24.09,0.014530674,0.900152003,0.900152003,21.73,22.7,24.21,0.05605592,0.58078037,0.58078037,19.23,18.77,19.98,-0.212210719,0.014850381,0.014850381
SMG1,2.81,7.68,3,7.26,6.72,7.56,-0.804915964,0.000160792,0.000160792,7.38,7.63,8.15,0.944474031,3.76E-06,3.76E-06,6.14,4.68,5.57,-0.534464878,7.83E-07,7.83E-07
PLEKHA6,6.69,6.47,6.84,6.91,7,6.51,0.059568055,0.514001887,0.514001887,7.2,7.09,6.69,-0.029508297,0.741524525,0.741524525,6.62,7.14,6.79,-0.011614142,0.86495641,0.86495641
WDTC1,17.5,16.05,17.22,15.43,14.9,15.3,0.264685513,0.003642772,0.003642772,15.39,14.58,13.49,-0.292660212,0.003257816,0.003257816,14.45,15.14,14.87,0.028359611,0.681035881,0.681035881
SOCS6,1.28,2.19,1.55,1.97,2.01,2.49,-0.232064695,0.377547059,0.377547059,2.63,2.41,1.94,0.349561605,0.181978752,0.181978752,1.98,1.62,1.94,-0.312460028,0.07413328,0.07413328
SERPINB7,0.53,0.22,0.37,0.53,0.54,0.36,-0.282392403,0.660438865,0.660438865,0.85,0.71,0.73,0.813111993,0.161348682,0.161348682,0.49,0.47,0.43,-0.725104557,0.109145789,0.109145789
PRH1-PRR4-3,3.65,4.46,4.18,3.51,2.74,3.73,0.452304485,0.160743573,0.160743573,4.65,4.12,1.68,-0.504710422,0.261177482,0.261177482,4.15,5.3,4.87,0.712718583,0.085283222,0.085283222
NR4A1,0.62,0.63,0.56,0.67,0.79,0.65,-0.127391717,0.757320141,0.757320141,0.63,0.69,0.59,-0.003319947,0.99362017,0.99362017,0.85,0.65,0.72,0.329395723,0.366950011,0.366950011
MAP3K3,25.64,27.11,27.28,26.22,22.72,28.57,0.24615805,0.001180516,0.001180516,24.66,24.55,23.15,-0.170636067,0.014581071,0.014581071,24.92,26.34,25.51,0.062864916,0.276744363,0.276744363
NR1I3,0,0,0,0,0,0.07,-0.786355302,0.847184675,0.847184675,0,0,0.06,0.806470116,0.843325689,0.843325689,0.07,0,0,0.033326233,0.993483552,0.993483552
ARHGAP23,30.87,24.32,31.19,27.18,28.34,27.96,0.138439173,0.280013993,0.280013993,27.44,27.28,27.2,-0.1754184,0.170764242,0.170764242,29.14,27.82,28.51,0.098820281,0.0180901,0.0180901
ATP6AP2,39.24,39.58,40.53,50.88,50.05,53.27,-0.288041719,0.000140364,0.000140364,51.45,51.86,51.38,0.297449213,3.60E-05,3.60E-05,50.4,40.89,45.15,-0.149409239,0.053243685,0.053243685
HSH2D,0.41,0.15,0.12,0.4,0.4,0.34,-0.82933919,0.370508837,0.370508837,0.34,0.21,0.29,0.480876775,0.62167312,0.62167312,0.06,0.16,0.17,-1.115821361,0.180631508,0.180631508
MBOAT7-4,0.03,0.37,0.01,7.59,0,0.02,-4.334402572,0.247125807,0.247125807,0,0.94,8.49,4.502044884,0.105739581,0.105739581,6.81,0,5.21,0.533614795,0.858086631,0.858086631
DDX52,5.45,8.09,5.53,9.12,8.64,9.41,-0.440667242,0.00144339,0.00144339,8.19,8.16,8.5,0.325176518,0.017637754,0.017637754,8.1,6.13,7.11,-0.195138973,0.08091421,0.08091421
GMCL1,4.85,4.72,4.09,5.73,5.34,6.17,-0.285958253,0.033709844,0.033709844,7.03,6.54,5.91,0.455898222,0.000912443,0.000912443,5.02,5.14,5,-0.343290242,0.003031726,0.003031726
