GeneID,logFC,PValue,FDR,Regulation,PathwayCount,PathwayList
DDR1,0.772547226,0.00525808,0.00525808,Up,9,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_ACTIVATED_TYROSINE_KINASE_RECEPTOR_SIGNALING_PATHWAY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_COLLAGEN_BINDING; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOMF_COLLAGEN_RECEPTOR_ACTIVITY
VCAM1,5.929665834,5.72e-10,5.72e-10,Up,9,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HETEROTYPIC_CELL_CELL_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_CELL_ADHESION_MOLECULES_CAMS
COL1A2,0.700875916,4.25e-57,4.25e-57,Up,8,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_FIBRIL_ORGANIZATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_METABOLIC_PROCESS; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_COLLAGEN_TRIMER; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_COMPLEX_OF_COLLAGEN_TRIMERS; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ECM_RECEPTOR_INTERACTION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_FOCAL_ADHESION
COL8A2,0.851770588,0.007572793,0.007572793,Up,8,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BASEMENT_MEMBRANE_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BASEMENT_MEMBRANE_ORGANIZATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_PROLIFERATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_BASEMENT_MEMBRANE; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_COLLAGEN_TRIMER; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_COMPLEX_OF_COLLAGEN_TRIMERS; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
DAB2,0.846289018,9.1e-69,9.1e-69,Up,8,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_PROLIFERATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
IL6R,1.005530624,5.74e-07,5.74e-07,Up,8,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_METABOLIC_PROCESS; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HOMOTYPIC_CELL_CELL_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS
NTN4,1.40213367,4.53e-51,4.53e-51,Up,8,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BASEMENT_MEMBRANE_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BASEMENT_MEMBRANE_ORGANIZATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRACELLULAR_MATRIX_CELL_SIGNALING; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOCC_BASEMENT_MEMBRANE
TEK,1.023774058,2.62e-32,2.62e-32,Up,8,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_PROLIFERATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FOCAL_ADHESION_ASSEMBLY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION
BMP4,2.194445629,2.09e-25,2.09e-25,Up,7,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_METABOLIC_PROCESS; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_PROLIFERATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS
ITGA7,1.069824442,4.13e-09,4.13e-09,Up,7,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MATRIX_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MIGRATION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_MOTILITY; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_SUBSTRATE_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HETEROTYPIC_CELL_CELL_ADHESION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ECM_RECEPTOR_INTERACTION; https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_FOCAL_ADHESION
