GeneSymbol
HMGB1
MANF
MAN2B2
MMP1
PLAT
NENF
LAMA4
NBL1
PLOD3
PPIA
HDGF
LTBP4
C1RL
NPC2
S100A13
PPIB
HLA-G
NPTX1
COL6A3
GPC1
C1S
IGFBP5
OLFML3
CD44
CFH
GRN
CLU
QSOX1
COL18A1
